Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_EN,ADM1_PCODE,ADM2_FR,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Bas Limbé,Bas Limbe,HT0362,11285,10767,22052,1129,1203,1187,1072,856,810,803,935,751,644,514,337,340,299,197,105,103,1123,1321,1297,1099,893,705,828,802,622,518,360,341,304,233,165,92,64,2252,2524,2484,2171,1749,1515,1631,1737,1373,1162,874,678,644,532,362,197,167
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Borgne,Borgne,HT0351,36300,34465,70765,4639,4541,3550,2980,2733,2084,2484,2603,2484,2021,1694,1253,1100,867,616,339,312,4875,4577,4223,3453,2402,1798,2224,2291,1993,1670,1355,1049,903,607,516,293,236,9514,9118,7773,6433,5135,3882,4708,4894,4477,3691,3049,2302,2003,1474,1132,632,548
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Cap-Haïtien,Cap-Haitien,HT0311,161011,142579,303590,14740,13827,16570,19154,18873,15018,15954,12420,9515,6831,5077,3936,3229,2539,1533,890,905,14320,13230,14202,16753,18761,14906,15894,12193,7452,4618,3170,2058,1779,1369,850,540,484,29060,27057,30772,35907,37634,29924,31848,24613,16967,11449,8247,5994,5008,3908,2383,1430,1389
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Dondon,Dondon,HT0342,18108,18290,36398,1710,1956,1830,1504,1286,1130,1289,1593,1388,1216,790,732,595,487,273,200,129,1845,1924,2061,1728,1386,1218,1380,1619,1245,1007,746,578,549,454,281,177,92,3555,3880,3891,3232,2672,2348,2669,3212,2633,2223,1536,1310,1144,941,554,377,221
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Grande Riviere Du Nord,Grande Riviere Du Nord,HT0331,22368,21448,43816,2138,2183,2067,2016,1830,1594,1796,1779,1512,1392,1042,905,773,574,353,209,205,2127,2196,2131,2067,1910,1634,1765,1690,1268,1133,850,773,695,555,324,190,140,4265,4379,4198,4083,3740,3228,3561,3469,2780,2525,1892,1678,1468,1129,677,399,345
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,La Victoire,La Victoire,HT0345,5641,5460,11101,706,705,593,494,455,368,431,418,341,292,214,156,181,115,87,41,44,689,689,610,548,444,367,450,400,285,244,232,123,147,98,70,31,33,1395,1394,1203,1042,899,735,881,818,626,536,446,279,328,213,157,72,77
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Limbé,Limbe,HT0361,45614,44436,90050,4029,4338,4344,4504,4369,3404,3723,3684,3108,2526,2009,1504,1416,1037,762,450,407,4262,4701,4671,4550,4149,3631,3802,3563,2656,2062,1672,1295,1144,950,622,359,347,8291,9039,9015,9054,8518,7035,7525,7247,5764,4588,3681,2799,2560,1987,1384,809,754
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Limonade,Limonade,HT0313,30672,30589,61261,3426,3250,3075,2946,2619,2092,2285,2421,1861,1697,1232,1035,937,742,491,286,277,3413,3480,3409,3335,2740,2109,2345,2307,1707,1493,981,842,793,776,389,252,218,6839,6730,6484,6281,5359,4201,4630,4728,3568,3190,2213,1877,1730,1518,880,538,495
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Milot,Milot,HT0323,17103,17090,34193,1910,1865,1682,1665,1543,1241,1287,1194,1022,874,758,617,474,416,267,151,137,1842,1942,1783,1862,1730,1268,1493,1295,926,683,522,514,395,370,250,124,91,3752,3807,3465,3527,3273,2509,2780,2489,1948,1557,1280,1131,869,786,517,275,228
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Pignon,Pignon,HT0344,23708,23098,46806,2651,2613,2625,2344,1726,1484,1836,1906,1460,1311,915,915,747,518,319,165,173,2749,2643,2695,2560,1902,1589,1605,1710,1214,1060,851,788,661,497,325,133,116,5400,5256,5320,4904,3628,3073,3441,3616,2674,2371,1766,1703,1408,1015,644,298,289
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Pilate,Pilate,HT0372,31613,28922,60535,3739,3902,3290,2684,1992,1532,1980,2196,2061,1947,1462,1297,1199,1029,606,367,330,3759,3917,3615,2830,1562,1305,1578,1848,1783,1502,1253,1024,990,800,581,327,248,7498,7819,6905,5514,3554,2837,3558,4044,3844,3449,2715,2321,2189,1829,1187,694,578
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Plaine du Nord,Plaine du Nord,HT0322,22624,21358,43982,2552,2453,2304,2098,1982,1613,1892,1674,1344,1146,1018,712,639,457,336,220,184,2479,2549,2360,2141,1870,1595,1871,1581,1183,865,763,633,550,357,279,142,140,5031,5002,4664,4239,3852,3208,3763,3255,2527,2011,1781,1345,1189,814,615,362,324
2024,HTI,Haiti,Haïti,HT,Nord,North,HT03,Plaisance,Plaisance,HT0371,39502,37427,76929,4589,4742,4208,3538,3093,2416,2674,2775,2489,2187,1778,1379,1234,973,694,419,314,4755,4706,4109,3599,2986,2300,2617,2576,2196,1679,1526,1206,1125,878,585,330,254,9344,9448,8317,7137,6079,4716,5291,5351,4685,3866,3304,2585,2359,1851,1279,749,568
