"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2012-13","School","608","Bartow County","0196","Allatoona Elementary School","PK,KK,01,02,03,04,05",445,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0198","Woodland High School","09,10,11,12",1721,"119","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","13","Too Few Students","Too Few Students","96","81","77","65","42","35"
"2012-13","School","608","Bartow County","0296","Kingston Elementary School","PK,KK,01,02,03,04,05",503,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0301","Adairsville Middle School","06,07,08",739,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0377","Hamilton Crossing Elementary School","PK,KK,01,02,03,04,05",620,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","0396","Taylorsville Elementary School","PK,KK,01,02,03,04,05",528,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","608","Bartow County","2052","Emerson Elementary School","PK,KK,01,02,03,04,05",375,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13769,"411","Too Few Students","Too Few Students","Too Few Students","Too Few Students","51","12","47","11","Too Few Students","Too Few Students","302","74","251","61","160","39"
"2012-13","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",707,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",928,"124","Too Few Students","Too Few Students","Too Few Students","Too Few Students","67","54","15","12","Too Few Students","Too Few Students","39","32","62","50","62","50"
"2012-13","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",750,"41","Too Few Students","Too Few Students","Too Few Students","Too Few Students","23","56","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","37","26","63","15","37"
"2012-13","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",731,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3116,"188","Too Few Students","Too Few Students","Too Few Students","Too Few Students","102","54","18","10","Too Few Students","Too Few Students","62","33","101","54","87","46"
"2012-13","School","610","Berrien County","0101","Berrien High School","09,10,11,12",781,"30","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","70","21","70","Too Few Students","Too Few Students"
"2012-13","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",78,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
