"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2017-18","611","Bibb County","0204","Rutland High School","Gov. & Pol. U.S.",1,,
"2017-18","611","Bibb County","0204","Rutland High School","Physics 1",23,23,
"2017-18","611","Bibb County","0204","Rutland High School","Statistics",19,19,1
"2017-18","611","Bibb County","0204","Rutland High School","U.S. History",55,55,6
"2017-18","611","Bibb County","0204","Rutland High School","World History",48,48,4
"2017-18","611","Bibb County","0286","Northeast High School","ALL Subjects",81,129,4
"2017-18","611","Bibb County","0286","Northeast High School","Biology",31,31,1
"2017-18","611","Bibb County","0286","Northeast High School","Calculus A",21,21,
"2017-18","611","Bibb County","0286","Northeast High School","Economics: Micro",11,11,1
"2017-18","611","Bibb County","0286","Northeast High School","Eng. Language & Comp",48,48,1
"2017-18","611","Bibb County","0286","Northeast High School","Eng. Literature & Comp",16,16,
"2017-18","611","Bibb County","0286","Northeast High School","World History",2,,
"2017-18","611","Bibb County","0386","Southwest High School","ALL Subjects",79,105,4
"2017-18","611","Bibb County","0386","Southwest High School","Calculus A",8,,
"2017-18","611","Bibb County","0386","Southwest High School","Capstone",1,,
"2017-18","611","Bibb County","0386","Southwest High School","Eng. Language & Comp",21,21,1
"2017-18","611","Bibb County","0386","Southwest High School","Eng. Literature & Comp",19,19,
"2017-18","611","Bibb County","0386","Southwest High School","Environmental Science",12,12,
"2017-18","611","Bibb County","0386","Southwest High School","European History",1,,
"2017-18","611","Bibb County","0386","Southwest High School","Geography: Human",1,,
"2017-18","611","Bibb County","0386","Southwest High School","Physics 1",1,,
"2017-18","611","Bibb County","0386","Southwest High School","U.S. History",24,24,1
"2017-18","611","Bibb County","0386","Southwest High School","World History",17,17,1
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",1057,1600,243
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio 2-D Design",8,,
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Biology",86,86,10
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",73,73,12
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Calculus BC",14,14,8
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Capstone",17,17,4
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Chemistry",51,51,
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Computer Science A",6,,
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",53,53,23
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",267,268,29
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Eng. Literature & Comp",159,159,21
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",57,57,12
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","European History",1,,
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Geography: Human",145,145,24
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Gov. & Pol. U.S.",87,90,1
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Physics 1",47,47,1
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Psychology",15,15,2
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Spanish Language",1,,
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","Statistics",45,45,2
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",233,234,39
"2017-18","611","Bibb County","SCHOOL_ALL","SCHOOL_ALL","World History",226,230,45
"2017-18","612","Bleckley County","0105","Bleckley County High School","ALL Subjects",72,87,36
"2017-18","612","Bleckley County","0105","Bleckley County High School","Calculus A",20,20,4
"2017-18","612","Bleckley County","0105","Bleckley County High School","Eng. Language & Comp",33,33,18
"2017-18","612","Bleckley County","0105","Bleckley County High School","Environmental Science",34,34,14
"2017-18","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",72,87,36
"2017-18","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Calculus A",20,20,4
"2017-18","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",33,33,18
"2017-18","612","Bleckley County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",34,34,14
"2017-18","613","Brantley County","1050","Brantley County High School","ALL Subjects",101,134,74
"2017-18","613","Brantley County","1050","Brantley County High School","Biology",23,23,11
"2017-18","613","Brantley County","1050","Brantley County High School","Economics: Micro",3,,
"2017-18","613","Brantley County","1050","Brantley County High School","Eng. Language & Comp",45,45,27
"2017-18","613","Brantley County","1050","Brantley County High School","Environmental Science",1,,
"2017-18","613","Brantley County","1050","Brantley County High School","Physics 1",10,10,
"2017-18","613","Brantley County","1050","Brantley County High School","Psychology",28,28,17
"2017-18","613","Brantley County","1050","Brantley County High School","World History",24,24,19
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",101,134,74
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Biology",23,23,11
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",3,,
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",45,45,27
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",1,,
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Physics 1",10,10,
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","Psychology",28,28,17
"2017-18","613","Brantley County","SCHOOL_ALL","SCHOOL_ALL","World History",24,24,19
"2017-18","615","Bryan County","0182","Richmond Hill High School","ALL Subjects",458,902,668
"2017-18","615","Bryan County","0182","Richmond Hill High School","Art History",2,,
