"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2011-12","642","Dawson County","ALL","All Column Values","School Administration",1335337.02,504677.76,1840014.78,5.42,4.25,5.58,4.43
"2011-12","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",13761120.39,5426720.86,19187841.25,56.56,44.28,58.19,46.19
"2011-12","643","Decatur County","ALL","All Column Values","General Administration",380391.96,87772.3,468164.26,1.14,0.95,1.11,0.93
"2011-12","643","Decatur County","ALL","All Column Values","School Administration",1642627.8,523260.26,2165888.06,5.27,4.38,5.13,4.29
"2011-12","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",18488948.2,6057125.82,24546074.02,59.73,49.65,58.16,48.57
"2011-12","644","DeKalb County","ALL","All Column Values","General Administration",4368185.44,2024749.73,6392935.17,0.74,0.62,0.7,0.57
"2011-12","644","DeKalb County","ALL","All Column Values","School Administration",34462704.71,12186790.75,46649495.46,5.41,4.53,5.08,4.18
"2011-12","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",362139774.76,127698714.41,489838489.17,56.76,47.59,53.33,43.85
"2011-12","645","Dodge County","ALL","All Column Values","General Administration",336540.94,116477.99,453018.93,1.84,1.57,1.75,1.59
"2011-12","645","Dodge County","ALL","All Column Values","School Administration",693457.79,278096.27,971554.06,3.95,3.37,3.75,3.41
"2011-12","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",11540708.42,4422550.31,15963258.73,64.87,55.37,61.56,56.01
"2011-12","646","Dooly County","ALL","All Column Values","General Administration",238717.32,90846.72,329564.04,2.49,2.06,2.35,2.02
"2011-12","646","Dooly County","ALL","All Column Values","School Administration",592031.88,267261.95,859293.83,6.48,5.38,6.13,5.26
"2011-12","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",5097728.3,1945063.11,7042791.41,53.15,44.07,50.25,43.09
"2011-12","647","Dougherty County","ALL","All Column Values","General Administration",927406.95,405427.4,1332834.35,0.96,0.81,0.97,0.82
"2011-12","647","Dougherty County","ALL","All Column Values","School Administration",4784429.2,1976510.94,6760940.14,4.88,4.12,4.91,4.17
"2011-12","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",51621668.45,22099417.31,73721085.76,53.21,44.91,53.54,45.48
"2011-12","648","Douglas County","ALL","All Column Values","General Administration",1277238.41,459580.45,1736818.86,0.87,0.61,0.85,0.55
"2011-12","648","Douglas County","ALL","All Column Values","School Administration",7676276.19,3456431.08,11132707.27,5.59,3.9,5.43,3.54
"2011-12","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",85964220.97,33521492.67,119485713.64,60.05,41.91,58.26,37.97
"2011-12","649","Early County","ALL","All Column Values","General Administration",285598.03,182024.62,467622.65,2.37,2.03,2.37,1.99
"2011-12","649","Early County","ALL","All Column Values","School Administration",695314.58,269192.91,964507.49,4.88,4.18,4.88,4.1
"2011-12","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",8534849.11,3457095.93,11991945.04,60.68,51.99,60.7,50.94
"2011-12","650","Echols County","ALL","All Column Values","General Administration",106409.52,64506.48,170916,2.45,2.13,2.44,2.07
"2011-12","650","Echols County","ALL","All Column Values","School Administration",174048.21,73582.78,247630.99,3.55,3.09,3.54,3.01
"2011-12","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",2680468.98,1075900.59,3756369.57,53.83,46.87,53.69,45.6
"2011-12","651","Effingham County","ALL","All Column Values","General Administration",949890.63,343432.16,1293322.79,1.48,1.28,1.46,1.25
"2011-12","651","Effingham County","ALL","All Column Values","School Administration",2909977.47,1228722.89,4138700.36,4.73,4.11,4.66,4.01
"2011-12","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",41597821.88,14902882.12,56500704,64.54,56.1,63.65,54.79
"2011-12","652","Elbert County","ALL","All Column Values","General Administration",203322.02,172853.86,376175.88,1.34,1.18,1.42,1.26
"2011-12","652","Elbert County","ALL","All Column Values","School Administration",971900.03,405056.19,1376956.22,4.91,4.31,5.21,4.61
"2011-12","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",11915777.56,4328413.86,16244191.42,57.93,50.84,61.44,54.39
"2011-12","653","Emanuel County","ALL","All Column Values","General Administration",301812.92,135521.37,437334.29,1.33,1,1.32,1.14
"2011-12","653","Emanuel County","ALL","All Column Values","School Administration",1040010.63,478157.35,1518167.98,4.62,3.48,4.58,3.97
"2011-12","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",13904712.83,5785581.77,19690294.6,59.93,45.18,59.37,51.52
"2011-12","654","Evans County","ALL","All Column Values","General Administration",101598,60129.43,161727.43,1.21,0.81,1.17,0.64
"2011-12","654","Evans County","ALL","All Column Values","School Administration",469306.73,173558.3,642865.03,4.8,3.22,4.65,2.53
"2011-12","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",6088641.61,1043512.96,7132154.57,53.3,35.75,51.58,28.04
"2011-12","655","Fannin County","ALL","All Column Values","General Administration",426377.93,167377.63,593755.56,1.97,1.69,1.95,1.58
"2011-12","655","Fannin County","ALL","All Column Values","School Administration",966177.4,547359.1,1513536.5,5.03,4.31,4.97,4.04
"2011-12","655","Fannin County","ALL","All Column Values","Teachers and Paraprofessionals",12289111.24,5396025.45,17685136.69,58.76,50.38,58.07,47.16
"2011-12","656","Fayette County","ALL","All Column Values","General Administration",715995.74,333016.04,1049011.78,0.59,0.49,0.57,0.49
"2011-12","656","Fayette County","ALL","All Column Values","School Administration",6761078.01,3408246.91,10169324.92,5.7,4.77,5.48,4.77
"2011-12","656","Fayette County","ALL","All Column Values","Teachers and Paraprofessionals",82189715.34,31658784.95,113848500.29,63.78,53.45,61.36,53.35
"2011-12","657","Floyd County","ALL","All Column Values","General Administration",677999.14,942352.22,1620351.36,1.69,1.43,1.63,1.37
"2011-12","657","Floyd County","ALL","All Column Values","School Administration",4254375.35,1783606.39,6037981.74,6.29,5.33,6.08,5.1
"2011-12","657","Floyd County","ALL","All Column Values","Teachers and Paraprofessionals",41923496.44,16585967.04,58509463.48,60.93,51.64,58.96,49.43
"2011-12","658","Forsyth County","ALL","All Column Values","General Administration",1134476.66,403128.5,1537605.16,0.56,0.45,0.56,0.45
"2011-12","658","Forsyth County","ALL","All Column Values","School Administration",8650153.2,3893265.85,12543419.05,4.61,3.65,4.61,3.67
"2011-12","658","Forsyth County","ALL","All Column Values","Teachers and Paraprofessionals",127065209.07,49233063.62,176298272.69,64.75,51.31,64.75,51.54
"2011-12","659","Franklin County","ALL","All Column Values","General Administration",246098.64,110993.59,357092.23,1.22,1.04,1.2,0.97
"2011-12","659","Franklin County","ALL","All Column Values","School Administration",1134534.71,463683.13,1598217.84,5.47,4.67,5.36,4.36
"2011-12","659","Franklin County","ALL","All Column Values","Teachers and Paraprofessionals",12819551.8,5008608.12,17828159.92,60.98,52.07,59.78,48.65
"2011-12","660","Fulton County","ALL","All Column Values","General Administration",3629190.78,8293024.33,11922215.11,1.36,1.02,1.41,1.18
"2011-12","660","Fulton County","ALL","All Column Values","School Administration",26338644.58,10066066.57,36404711.15,4.14,3.13,4.3,3.61
"2011-12","660","Fulton County","ALL","All Column Values","Teachers and Paraprofessionals",338762971.76,113262488.9,452025460.66,51.42,38.85,53.37,44.85
"2011-12","661","Gilmer County","ALL","All Column Values","General Administration",193799.48,119578.03,313377.51,0.83,0.71,0.93,0.77
"2011-12","661","Gilmer County","ALL","All Column Values","School Administration",1146000.84,546833.9,1692834.74,4.48,3.86,5.01,4.16
"2011-12","661","Gilmer County","ALL","All Column Values","Teachers and Paraprofessionals",14463392.86,5990912.93,20454305.79,54.17,46.59,60.49,50.23
"2011-12","662","Glascock County","ALL","All Column Values","General Administration",153458.88,61621.48,215080.36,4.14,3.72,3.99,3.49
