"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","644","DeKalb County","1071","Woodward Elementary School",4
"2011","644","DeKalb County","1100","International Student Center",125
"2011","644","DeKalb County","2055","Druid Hills High School",4
"2011","644","DeKalb County","2056","Fernbank Elementary School",11
"2011","644","DeKalb County","2058","Henderson Mill Elementary School",5
"2011","644","DeKalb County","2059","Indian Creek Elementary School",181
"2011","644","DeKalb County","2061","McLendon Elementary School",42
"2011","644","DeKalb County","2062","Midvale Elementary School",2
"2011","644","DeKalb County","2065","Cary Reynolds Elementary School",9
"2011","644","DeKalb County","2068","Stone Mountain Elementary School",1
"2011","644","DeKalb County","3050","Ashford Park Elementary School",3
"2011","644","DeKalb County","3051","Briarlake Elementary School",1
"2011","644","DeKalb County","3052","Canby Lane Elementary School",1
"2011","644","DeKalb County","3053","Chesnut Elementary School",2
"2011","644","DeKalb County","3055","Dunaire Elementary School",6
"2011","644","DeKalb County","3056","Flat Shoals Elementary School",1
"2011","644","DeKalb County","3057","Hambrick Elementary School",2
"2011","644","DeKalb County","3059","Jolly Elementary School",8
"2011","644","DeKalb County","3060","Lakeside High School",4
"2011","644","DeKalb County","3064","Pleasantdale Elementary School",5
"2011","644","DeKalb County","3069","Toney Elementary School",1
"2011","644","DeKalb County","4051","Briar Vista Elementary School",1
"2011","644","DeKalb County","4053","Clarkston High School",1
"2011","644","DeKalb County","4054","Cross Keys High School",2
"2011","644","DeKalb County","4058","Hightower Elementary School",12
"2011","644","DeKalb County","4060","Laurel Ridge Elementary School",2
"2011","644","DeKalb County","4062","Montclair Elementary School",5
"2011","644","DeKalb County","4065","Rowland Elementary School",3
"2011","644","DeKalb County","4068","Stoneview Elementary School",1
"2011","644","DeKalb County","5050","Avondale Elementary School",11
"2011","644","DeKalb County","5052","Chamblee Charter High School",2
"2011","644","DeKalb County","5056","Glen Haven Elementary School",1
"2011","644","DeKalb County","5058","Huntley Hills Elementary School",5
"2011","644","DeKalb County","5059","Kingsley Elementary School",3
"2011","644","DeKalb County","5062","Montgomery Elementary School",3
"2011","644","DeKalb County","5065","Sagamore Hills Elementary School",10
"2011","644","DeKalb County","ALL","All Schools",799
"2011","647","Dougherty County","2062","Sylvester Road Elementary School",1
"2011","647","Dougherty County","ALL","All Schools",1
"2011","648","Douglas County","0100","Chapel Hill High School",1
"2011","648","Douglas County","0103","Yeager Middle School",1
"2011","648","Douglas County","0108","Factory Shoals Middle School",3
"2011","648","Douglas County","0175","Lithia Springs Comprehensive High School",1
