LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,621,Candler County,101,Metter High School,All Students,Mathematics,1267239,83053,87,87,506,486,443,443
2010-11,621,Candler County,101,Metter High School,All Students,Reading,1267239,83053,87,87,494,483,445,445
2010-11,621,Candler County,101,Metter High School,All Students,Writing,1267239,83053,87,87,483,378,366,366
2010-11,622,Carroll County,113,Open Campus High School,All Students,Combined,1267239,83053,450,TFS,1483,1347,1287,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Mathematics,1267239,83053,450,TFS,506,486,456,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Reading,1267239,83053,450,TFS,494,483,465,
2010-11,622,Carroll County,113,Open Campus High School,All Students,Writing,1267239,83053,450,TFS,483,378,366,
2010-11,622,Carroll County,189,Temple High School,All Students,Combined,1267239,83053,450,43,1483,1347,1287,1251
2010-11,622,Carroll County,189,Temple High School,All Students,Mathematics,1267239,83053,450,43,506,486,456,443
2010-11,622,Carroll County,189,Temple High School,All Students,Reading,1267239,83053,450,43,494,483,465,470
2010-11,622,Carroll County,189,Temple High School,All Students,Writing,1267239,83053,450,43,483,378,366,337
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Combined,1267239,83053,450,15,1483,1347,1287,1431
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Mathematics,1267239,83053,450,15,506,486,456,468
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Reading,1267239,83053,450,15,494,483,465,489
2010-11,622,Carroll County,308,Mt. Zion High School,All Students,Writing,1267239,83053,450,15,483,378,366,475
2010-11,622,Carroll County,2052,Central High School,All Students,Combined,1267239,83053,450,197,1483,1347,1287,1268
2010-11,622,Carroll County,2052,Central High School,All Students,Mathematics,1267239,83053,450,197,506,486,456,453
2010-11,622,Carroll County,2052,Central High School,All Students,Reading,1267239,83053,450,197,494,483,465,461
2010-11,622,Carroll County,2052,Central High School,All Students,Writing,1267239,83053,450,197,483,378,366,353
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Combined,1267239,83053,450,26,1483,1347,1287,1359
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Mathematics,1267239,83053,450,26,506,486,456,482
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Reading,1267239,83053,450,26,494,483,465,497
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Writing,1267239,83053,450,26,483,378,366,380
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Combined,1267239,83053,450,167,1483,1347,1287,1296
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Mathematics,1267239,83053,450,167,506,486,456,459
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Reading,1267239,83053,450,167,494,483,465,463
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Writing,1267239,83053,450,167,483,378,366,375
2010-11,623,Catoosa County,109,Heritage High School,All Students,Combined,1267239,83053,240,132,1483,1347,1419,1414
2010-11,623,Catoosa County,109,Heritage High School,All Students,Mathematics,1267239,83053,240,132,506,486,500,493
2010-11,623,Catoosa County,109,Heritage High School,All Students,Reading,1267239,83053,240,132,494,483,502,495
2010-11,623,Catoosa County,109,Heritage High School,All Students,Writing,1267239,83053,240,132,483,378,416,427
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Combined,1267239,83053,240,36,1483,1347,1419,1417
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Mathematics,1267239,83053,240,36,506,486,500,495
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Reading,1267239,83053,240,36,494,483,502,515
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Writing,1267239,83053,240,36,483,378,416,407
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Combined,1267239,83053,240,72,1483,1347,1419,1427
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Mathematics,1267239,83053,240,72,506,486,500,516
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Reading,1267239,83053,240,72,494,483,502,511
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Writing,1267239,83053,240,72,483,378,416,401
2010-11,624,Charlton County,287,Charlton County High School,All Students,Combined,1267239,83053,74,74,1483,1347,1171,1171
2010-11,624,Charlton County,287,Charlton County High School,All Students,Mathematics,1267239,83053,74,74,506,486,433,433
2010-11,624,Charlton County,287,Charlton County High School,All Students,Reading,1267239,83053,74,74,494,483,419,419
2010-11,624,Charlton County,287,Charlton County High School,All Students,Writing,1267239,83053,74,74,483,378,319,319
2010-11,625,Savannah-Chatham County,101,Johnson High School,All Students,Combined,1267239,83053,1648,228,1483,1347,1224,1236
2010-11,625,Savannah-Chatham County,101,Johnson High School,All Students,Mathematics,1267239,83053,1648,228,506,486,438,429
2010-11,625,Savannah-Chatham County,101,Johnson High School,All Students,Reading,1267239,83053,1648,228,494,483,445,442
2010-11,625,Savannah-Chatham County,101,Johnson High School,All Students,Writing,1267239,83053,1648,228,483,378,341,364
2010-11,625,Savannah-Chatham County,108,Early College Program,All Students,Combined,1267239,83053,1648,29,1483,1347,1224,1228
2010-11,625,Savannah-Chatham County,108,Early College Program,All Students,Mathematics,1267239,83053,1648,29,506,486,438,425
2010-11,625,Savannah-Chatham County,108,Early College Program,All Students,Reading,1267239,83053,1648,29,494,483,445,452
2010-11,625,Savannah-Chatham County,108,Early College Program,All Students,Writing,1267239,83053,1648,29,483,378,341,351
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Combined,1267239,83053,1648,15,1483,1347,1224,961
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Mathematics,1267239,83053,1648,15,506,486,438,359
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Reading,1267239,83053,1648,15,494,483,445,337
2010-11,625,Savannah-Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Writing,1267239,83053,1648,15,483,378,341,266
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Combined,1267239,83053,1648,158,1483,1347,1224,973
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Mathematics,1267239,83053,1648,158,506,486,438,355
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Reading,1267239,83053,1648,158,494,483,445,354
2010-11,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Writing,1267239,83053,1648,158,483,378,341,264
2010-11,625,Savannah-Chatham County,411,Islands High School,All Students,Combined,1267239,83053,1648,78,1483,1347,1224,1257
2010-11,625,Savannah-Chatham County,411,Islands High School,All Students,Mathematics,1267239,83053,1648,78,506,486,438,446
2010-11,625,Savannah-Chatham County,411,Islands High School,All Students,Reading,1267239,83053,1648,78,494,483,445,466
2010-11,625,Savannah-Chatham County,411,Islands High School,All Students,Writing,1267239,83053,1648,78,483,378,341,344
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Combined,1267239,83053,1648,301,1483,1347,1224,1475
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Mathematics,1267239,83053,1648,301,506,486,438,537
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Reading,1267239,83053,1648,301,494,483,445,564
2010-11,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Writing,1267239,83053,1648,301,483,378,341,374
2010-11,625,Savannah-Chatham County,2052,Beach High School,All Students,Combined,1267239,83053,1648,108,1483,1347,1224,1036
2010-11,625,Savannah-Chatham County,2052,Beach High School,All Students,Mathematics,1267239,83053,1648,108,506,486,438,375
2010-11,625,Savannah-Chatham County,2052,Beach High School,All Students,Reading,1267239,83053,1648,108,494,483,445,369
2010-11,625,Savannah-Chatham County,2052,Beach High School,All Students,Writing,1267239,83053,1648,108,483,378,341,293
2010-11,625,Savannah-Chatham County,3056,Groves High School,All Students,Combined,1267239,83053,1648,222,1483,1347,1224,1086
2010-11,625,Savannah-Chatham County,3056,Groves High School,All Students,Mathematics,1267239,83053,1648,222,506,486,438,394
2010-11,625,Savannah-Chatham County,3056,Groves High School,All Students,Reading,1267239,83053,1648,222,494,483,445,393
2010-11,625,Savannah-Chatham County,3056,Groves High School,All Students,Writing,1267239,83053,1648,222,483,378,341,300
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Combined,1267239,83053,1648,310,1483,1347,1224,1280
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Mathematics,1267239,83053,1648,310,506,486,438,454
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Reading,1267239,83053,1648,310,494,483,445,456
2010-11,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Writing,1267239,83053,1648,310,483,378,341,371
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Combined,1267239,83053,1648,197,1483,1347,1224,1209
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Mathematics,1267239,83053,1648,197,506,486,438,430
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Reading,1267239,83053,1648,197,494,483,445,426
2010-11,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Writing,1267239,83053,1648,197,483,378,341,353
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,All Students,Combined,1267239,83053,1648,TFS,1483,1347,1224,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,All Students,Mathematics,1267239,83053,1648,TFS,506,486,438,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,All Students,Reading,1267239,83053,1648,TFS,494,483,445,
2010-11,625,Savannah-Chatham County,6595,Scott Alternative Learning Center,All Students,Writing,1267239,83053,1648,TFS,483,378,341,
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Combined,1267239,83053,58,58,1483,1347,1210,1210
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Mathematics,1267239,83053,58,58,506,486,423,423
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Reading,1267239,83053,58,58,494,483,422,422
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Writing,1267239,83053,58,58,483,378,365,365
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Combined,1267239,83053,60,60,1483,1347,1312,1312
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Mathematics,1267239,83053,60,60,506,486,458,458
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Reading,1267239,83053,60,60,494,483,471,471
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Writing,1267239,83053,60,60,483,378,384,384
2010-11,628,Cherokee County,106,Creekview High School,All Students,Combined,1267239,83053,1806,374,1483,1347,1473,1473
2010-11,628,Cherokee County,106,Creekview High School,All Students,Mathematics,1267239,83053,1806,374,506,486,533,536
2010-11,628,Cherokee County,106,Creekview High School,All Students,Reading,1267239,83053,1806,374,494,483,528,528
2010-11,628,Cherokee County,106,Creekview High School,All Students,Writing,1267239,83053,1806,374,483,378,412,409
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Combined,1267239,83053,1806,10,1483,1347,1473,1499
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Mathematics,1267239,83053,1806,10,506,486,533,562
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Reading,1267239,83053,1806,10,494,483,528,578
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Writing,1267239,83053,1806,10,483,378,412,359
2010-11,628,Cherokee County,176,Etowah High School,All Students,Combined,1267239,83053,1806,355,1483,1347,1473,1502
2010-11,628,Cherokee County,176,Etowah High School,All Students,Mathematics,1267239,83053,1806,355,506,486,533,545
2010-11,628,Cherokee County,176,Etowah High School,All Students,Reading,1267239,83053,1806,355,494,483,528,541
2010-11,628,Cherokee County,176,Etowah High School,All Students,Writing,1267239,83053,1806,355,483,378,412,416
2010-11,628,Cherokee County,191,Sequoyah High School,All Students,Combined,1267239,83053,1806,431,1483,1347,1473,1448
