"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","654","Evans County","All","All","06","131","131","24","TFS","801.1"
2021,"District Level","654","Evans County","All","All","07","139","139","54","TFS","1005.9"
2021,"District Level","654","Evans County","All","All","08","124","124","46","TFS","1008.2"
2021,"District Level","655","Fannin County","All","All","03","199","198","79","TFS","625"
2021,"District Level","655","Fannin County","All","All","04","189","189","69","TFS","767.1"
2021,"District Level","655","Fannin County","All","All","05","185","185","79","TFS","894.4"
2021,"District Level","655","Fannin County","All","All","06","208","208","104","TFS","973.9"
2021,"District Level","655","Fannin County","All","All","07","218","218","100","TFS","1062.4"
2021,"District Level","655","Fannin County","All","All","08","222","219","123","TFS","1123.4"
2021,"District Level","656","Fayette County","All","All","03","1165","1164","717","TFS","732.4"
2021,"District Level","656","Fayette County","All","All","04","1153","1153","673","TFS","888.3"
2021,"District Level","656","Fayette County","All","All","05","1308","1305","910","TFS","996"
2021,"District Level","656","Fayette County","All","All","06","1265","1259","871","TFS","1075.1"
2021,"District Level","656","Fayette County","All","All","07","1318","1316","1016","TFS","1202.3"
2021,"District Level","656","Fayette County","All","All","08","1343","1271","1021","72","1273"
2021,"District Level","657","Floyd County","All","All","03","634","634","319","TFS","660.2"
2021,"District Level","657","Floyd County","All","All","04","594","593","254","TFS","807.4"
2021,"District Level","657","Floyd County","All","All","05","614","612","349","TFS","937.6"
2021,"District Level","657","Floyd County","All","All","06","606","604","285","TFS","977.5"
2021,"District Level","657","Floyd County","All","All","07","666","664","362","TFS","1077.8"
2021,"District Level","657","Floyd County","All","All","08","694","681","351","13","1116.4"
2021,"District Level","658","Forsyth County","All","All","03","3305","3304","2207","TFS","757.1"
2021,"District Level","658","Forsyth County","All","All","04","3494","3488","2206","TFS","909.4"
2021,"District Level","658","Forsyth County","All","All","05","3643","3638","2813","TFS","1034.5"
2021,"District Level","658","Forsyth County","All","All","06","3426","3400","2405","26","1096.8"
2021,"District Level","658","Forsyth County","All","All","07","3235","3199","2453","36","1214"
2021,"District Level","658","Forsyth County","All","All","08","4014","2519","1844","1495","1239.4"
