"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBJECT_CODE","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","789","Thomasville City","All","All","American Literature and Composition","127","127","60","TFS","1233.2"
2021,"District Level","791","Trion City","All","All","American Literature and Composition","65","65","40","TFS","1348.5"
2021,"District Level","792","Valdosta City","All","All","American Literature and Composition","453","452","133","TFS","1110.4"
2021,"District Level","793","Vidalia City","All","All","American Literature and Composition","115","115","29","TFS","1166.7"
2021,"District Level","799","State Schools","All","All","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"District Level","891","Department of Juvenile Justice","All","All","American Literature and Composition","37","37","TFS","TFS","932"
2021,"School Level","601","Appling County","0103","Appling County High School","American Literature and Composition","221","221","86","TFS","1215.2"
2021,"School Level","602","Atkinson County","0103","Atkinson County High School","American Literature and Composition","101","101","55","TFS","1272.1"
2021,"School Level","603","Bacon County","0302","Bacon County High School","American Literature and Composition","101","101","22","TFS","1146.6"
2021,"School Level","604","Baker County","0105","Baker County K12 School","American Literature and Composition","18","18","TFS","TFS","1157.5"
2021,"School Level","605","Baldwin County","0189","Baldwin High School","American Literature and Composition","218","218","67","TFS","1171.1"
2021,"School Level","606","Banks County","0199","Banks County High School","American Literature and Composition","149","149","66","TFS","1228.1"
2021,"School Level","607","Barrow County","0101","Apalachee High School","American Literature and Composition","309","309","159","TFS","1270.9"
2021,"School Level","607","Barrow County","3052","Winder-Barrow High School","American Literature and Composition","342","342","143","TFS","1222"
2021,"School Level","608","Bartow County","0105","Adairsville High School","American Literature and Composition","205","205","60","TFS","1159.5"
2021,"School Level","608","Bartow County","0114","Cass High School","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","608","Bartow County","0114","Cass High School","American Literature and Composition","322","322","113","TFS","1192.2"
2021,"School Level","608","Bartow County","0198","Woodland High School","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","608","Bartow County","0198","Woodland High School","American Literature and Composition","277","277","142","TFS","1264.5"
2021,"School Level","609","Ben Hill County","0291","Fitzgerald High School","American Literature and Composition","138","138","36","TFS","1153.4"
2021,"School Level","609","Ben Hill County","0392","Hurricane Transition Academy","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","610","Berrien County","0101","Berrien High School","American Literature and Composition","191","191","100","TFS","1305.4"
2021,"School Level","610","Berrien County","0106","Berrien Academy Performance Learning Center","American Literature and Composition","18","18","TFS","TFS","1278.3"
2021,"School Level","611","Bibb County","0105","Howard High School","American Literature and Composition","31","31","TFS","TFS","961.6"
2021,"School Level","611","Bibb County","0186","Central High School","American Literature and Composition","73","73","TFS","TFS","1004"
2021,"School Level","611","Bibb County","0198","Westside High School","American Literature and Composition","79","79","TFS","TFS","933.6"
2021,"School Level","611","Bibb County","0204","Rutland High School","American Literature and Composition","101","101","15","TFS","1014.9"
2021,"School Level","611","Bibb County","0286","Northeast High School","American Literature and Composition","48","48","TFS","TFS","936.3"
2021,"School Level","611","Bibb County","0307","Price Academy","American Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","611","Bibb County","0386","Southwest High School","American Literature and Composition","57","56","TFS","TFS","986.2"
2021,"School Level","612","Bleckley County","0105","Bleckley County High School","American Literature and Composition","75","75","32","TFS","1213.2"
2021,"School Level","612","Bleckley County","0115","Bleckley County Success Academy","American Literature and Composition","16","16","TFS","TFS","1126.6"
2021,"School Level","613","Brantley County","1050","Brantley County High School","American Literature and Composition","220","220","112","TFS","1265.4"
2021,"School Level","614","Brooks County","0110","Brooks County High School","American Literature and Composition","68","68","11","TFS","1032.6"
2021,"School Level","614","Brooks County","0394","Delta Innovative School","American Literature and Composition","22","22","TFS","TFS","996.1"
2021,"School Level","615","Bryan County","0182","Richmond Hill High School","American Literature and Composition","581","581","414","TFS","1384.6"
2021,"School Level","615","Bryan County","0502","Bryan County High School","American Literature and Composition","149","149","69","TFS","1254.6"
2021,"School Level","616","Bulloch County","0203","Southeast Bulloch High School","American Literature and Composition","169","169","77","TFS","1238.8"
2021,"School Level","616","Bulloch County","2054","Statesboro High School","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","616","Bulloch County","2054","Statesboro High School","American Literature and Composition","178","178","45","TFS","1107.3"
2021,"School Level","616","Bulloch County","4052","Portal Middle/High School","American Literature and Composition","22","22","TFS","TFS","1129.1"
2021,"School Level","617","Burke County","0288","Burke County High School","9th Grade Literature and Composition","TFS","TFS","TFS","TFS","TFS"
2021,"School Level","617","Burke County","0288","Burke County High School","American Literature and Composition","254","254","87","TFS","1186.2"
2021,"School Level","618","Butts County","0190","Jackson High School","American Literature and Composition","175","175","84","TFS","1253.9"
2021,"School Level","619","Calhoun County","0113","Calhoun County High School","American Literature and Composition","14","14","TFS","TFS","940.7"
2021,"School Level","620","Camden County","0295","Camden County High School","American Literature and Composition","427","427","254","TFS","1323.3"
2021,"School Level","621","Candler County","0101","Metter High School","American Literature and Composition","100","100","44","TFS","1271.6"
2021,"School Level","621","Candler County","0303","Metter Career Academy","American Literature and Composition","48","48","16","TFS","1189.3"
2021,"School Level","622","Carroll County","0189","Temple High School","American Literature and Composition","78","78","37","TFS","1224.6"
2021,"School Level","622","Carroll County","0212","Mt. Zion High School","American Literature and Composition","59","59","23","TFS","1209.1"
2021,"School Level","622","Carroll County","2052","Central High School","American Literature and Composition","230","230","109","TFS","1241.5"
2021,"School Level","622","Carroll County","3050","Bowdon High School","American Literature and Composition","67","67","18","TFS","1156.8"
2021,"School Level","622","Carroll County","5054","Villa Rica High School","American Literature and Composition","308","308","139","TFS","1228.3"
