"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","642","Dawson County","0106","Riverview Middle School",1
"2016","642","Dawson County","ALL","All Schools",1
"2016","643","Decatur County","2052","Hutto Middle School",1
"2016","643","Decatur County","ALL","All Schools",1
"2016","644","DeKalb County","0107","Flat Rock Elementary School",2
"2016","644","DeKalb County","0108","Princeton Elementary School",4
"2016","644","DeKalb County","0173","Vanderlyn Elementary School",15
"2016","644","DeKalb County","0175","Austin Elementary School",11
"2016","644","DeKalb County","0188","Panola Way Elementary School",2
"2016","644","DeKalb County","0189","Peachtree Middle School",25
"2016","644","DeKalb County","0190","Pine Ridge Elementary School",3
"2016","644","DeKalb County","0200","Cedar Grove Middle School",2
"2016","644","DeKalb County","0201","Freedom Middle School",55
"2016","644","DeKalb County","0203","Lithonia Middle School",4
"2016","644","DeKalb County","0214","Dunwoody Elementary School",25
"2016","644","DeKalb County","0272","Rockbridge Elementary School",2
"2016","644","DeKalb County","0275","Cedar Grove Elementary School",2
"2016","644","DeKalb County","0290","Sequoyah Middle School",49
"2016","644","DeKalb County","0291","Salem Middle School",2
"2016","644","DeKalb County","0375","Fairington Elementary School",3
"2016","644","DeKalb County","0397","Stephenson Middle School",2
"2016","644","DeKalb County","0401","Mary McLeod Bethune Middle School",1
"2016","644","DeKalb County","0406","Chamblee Middle School",3
"2016","644","DeKalb County","0475","Bob Mathis Elementary School",1
"2016","644","DeKalb County","0506","Stone Mountain Middle School",24
"2016","644","DeKalb County","0575","Stone Mill Elementary School",42
"2016","644","DeKalb County","0597","Miller Grove Middle School",5
"2016","644","DeKalb County","0605","Tucker Middle School",40
"2016","644","DeKalb County","0797","Henderson Middle School",20
"2016","644","DeKalb County","0805","International Community School",12
"2016","644","DeKalb County","0897","Druid Hills Middle School",28
"2016","644","DeKalb County","1010","DeKalb Academy of Technology and the Environment Charter School",1
"2016","644","DeKalb County","1052","Brockett Elementary School",7
"2016","644","DeKalb County","1055","Dresden Elementary School",23
"2016","644","DeKalb County","1056","Evansdale Elementary School",8
"2016","644","DeKalb County","1057","McNair Middle School",1
"2016","644","DeKalb County","1059","Idlewood Elementary School",59
"2016","644","DeKalb County","1061","Livsey Elementary School",2
"2016","644","DeKalb County","1071","Woodward Elementary School",9
"2016","644","DeKalb County","1100","International Student Center",165
"2016","644","DeKalb County","1101","Peachcrest Elementary School",7
"2016","644","DeKalb County","2050","Allgood Elementary School",6
"2016","644","DeKalb County","2056","Fernbank Elementary School",15
"2016","644","DeKalb County","2058","Henderson Mill Elementary School",7
"2016","644","DeKalb County","2059","Indian Creek Elementary School",122
"2016","644","DeKalb County","2061","McLendon Elementary School",46
"2016","644","DeKalb County","2062","Midvale Elementary School",3
"2016","644","DeKalb County","2065","Cary Reynolds Elementary School",31
"2016","644","DeKalb County","2068","Stone Mountain Elementary School",1
"2016","644","DeKalb County","3050","Ashford Park Elementary School",2
"2016","644","DeKalb County","3051","Briarlake Elementary School",2
"2016","644","DeKalb County","3053","Chesnut Elementary School",4
"2016","644","DeKalb County","3055","Dunaire Elementary School",6
"2016","644","DeKalb County","3056","Flat Shoals Elementary School",1
"2016","644","DeKalb County","3057","Hambrick Elementary School",2
"2016","644","DeKalb County","3059","Jolly Elementary School",57
"2016","644","DeKalb County","3063","Oak Grove Elementary School",2
"2016","644","DeKalb County","3064","Pleasantdale Elementary School",8
"2016","644","DeKalb County","3065","Rock Chapel Elementary School",1
"2016","644","DeKalb County","3067","Smoke Rise Elementary School",4
"2016","644","DeKalb County","4051","Briar Vista Elementary School",14
"2016","644","DeKalb County","4058","Hightower Elementary School",10
"2016","644","DeKalb County","4060","Laurel Ridge Elementary School",3
"2016","644","DeKalb County","4062","Montclair Elementary School",22
"2016","644","DeKalb County","4063","Oakcliff Elementary School",1
"2016","644","DeKalb County","4065","Rowland Elementary School",1
"2016","644","DeKalb County","4068","Stoneview Elementary School",1
"2016","644","DeKalb County","5050","Avondale Elementary School",8
"2016","644","DeKalb County","5057","Hawthorne Elementary School",7
"2016","644","DeKalb County","5058","Huntley Hills Elementary School",9
"2016","644","DeKalb County","5059","Kingsley Elementary School",5
"2016","644","DeKalb County","5062","Montgomery Elementary School",2
"2016","644","DeKalb County","5065","Sagamore Hills Elementary School",3
"2016","644","DeKalb County","ALL","All Schools",1072
"2016","646","Dooly County","0104","Dooly County Elementary School",3
"2016","646","Dooly County","ALL","All Schools",3
"2016","647","Dougherty County","0106","Radium Springs Middle School",5
"2016","647","Dougherty County","4054","Lake Park Elementary School",1
"2016","647","Dougherty County","4060","Sherwood Acres Elementary School",5
"2016","647","Dougherty County","5058","Radium Springs Elementary School",1
"2016","647","Dougherty County","ALL","All Schools",12
"2016","648","Douglas County","0108","Factory Shoals Middle School",1
"2016","648","Douglas County","0113","Mason Creek Middle School",3
"2016","648","Douglas County","0178","Arbor Station Elementary School",1
"2016","648","Douglas County","0188","Chestnut Log Middle School",4
"2016","648","Douglas County","0198","Bright Star Elementary School",3
"2016","648","Douglas County","0200","Holly Springs Elementary",1
"2016","648","Douglas County","0203","New Manchester Elementary School",1
"2016","648","Douglas County","0213","Factory Shoals Elementary School",1
"2016","648","Douglas County","0498","Eastside Elementary School",3
"2016","648","Douglas County","1054","Winston Elementary School",1
"2016","648","Douglas County","2050","Beulah Elementary School",4
"2016","648","Douglas County","2054","Turner Middle School",1
"2016","648","Douglas County","3052","Lithia Springs Elementary School",3
"2016","648","Douglas County","3550","Chapel Hill Middle School",2
"2016","648","Douglas County","5052","Annette Winn Elementary School",1
"2016","648","Douglas County","ALL","All Schools",30
"2016","650","Echols County","0112","Echols County Elementary/Middle School",2
"2016","650","Echols County","ALL","All Schools",2
"2016","651","Effingham County","0107","Blandford Elementary School",2
"2016","651","Effingham County","0186","South Effingham Elementary School",4
"2016","651","Effingham County","0196","Sand Hill Elementary School",1
"2016","651","Effingham County","0203","Ebenezer Middle School",1
"2016","651","Effingham County","0297","South Effingham Middle School",2
"2016","651","Effingham County","ALL","All Schools",10
"2016","654","Evans County","0196","Claxton Elementary School",1
"2016","654","Evans County","3050","Claxton Middle School",1
"2016","654","Evans County","ALL","All Schools",2
"2016","656","Fayette County","0104","Crabapple Lane Elementary School",1
"2016","656","Fayette County","0108","Bennett's Mill Middle School",5
"2016","656","Fayette County","0178","Booth Middle School",12
"2016","656","Fayette County","0180","Huddleston Elementary School",5
"2016","656","Fayette County","0181","North Fayette Elementary School",3
"2016","656","Fayette County","0186","Oak Grove Elementary School",11
"2016","656","Fayette County","0191","Braelinn Elementary School",1
"2016","656","Fayette County","0196","Kedron Elementary School",7
"2016","656","Fayette County","0199","Peeples Elementary School",1
"2016","656","Fayette County","0291","Robert J. Burch Elementary School",4
"2016","656","Fayette County","0296","Spring Hill Elementary School",4
"2016","656","Fayette County","0298","Rising Starr Middle School",6
"2016","656","Fayette County","0402","Fayetteville Elementary School",1
"2016","656","Fayette County","0491","Flat Rock Middle School",2
"2016","656","Fayette County","1052","Peachtree City Elementary School",5
"2016","656","Fayette County","ALL","All Schools",68
"2016","657","Floyd County","0273","Pepperell Middle School",1
"2016","657","Floyd County","1050","Alto Park Elementary School",2
"2016","657","Floyd County","ALL","All Schools",3
"2016","658","Forsyth County","0100","Settles Bridge Elementary School",2
"2016","658","Forsyth County","0103","Cumming Elementary School",6
"2016","658","Forsyth County","0104","Sharon Elementary School",1
"2016","658","Forsyth County","0105","Riverwatch Middle School",2
"2016","658","Forsyth County","0106","Shiloh Point Elementary",5
"2016","658","Forsyth County","0108","Johns Creek Elementary",4
"2016","658","Forsyth County","0176","Mashburn Elementary School",2
