LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2011-12,625,Savannah-Chatham County,101,Johnson High School,All Students,Mathematics,1284459,86883,1661,201,491,444,422
2011-12,625,Savannah-Chatham County,101,Johnson High School,All Students,Reading,1284459,86895,1668,201,488,450,433
2011-12,625,Savannah-Chatham County,101,Johnson High School,All Students,Writing,1284459,85322,1635,194,364,333,327
2011-12,625,Savannah-Chatham County,108,Early College Program,All Students,Combined,1284459,86367,1655,50,1342,1227,1188
2011-12,625,Savannah-Chatham County,108,Early College Program,All Students,Mathematics,1284459,86883,1661,51,491,444,431
2011-12,625,Savannah-Chatham County,108,Early College Program,All Students,Reading,1284459,86895,1668,50,488,450,459
2011-12,625,Savannah-Chatham County,108,Early College Program,All Students,Writing,1284459,85322,1635,50,364,333,297
2011-12,625,Savannah-Chatham County,117,New Hampstead High School,All Students,Combined,1284459,86367,1655,20,1342,1227,949
2011-12,625,Savannah-Chatham County,117,New Hampstead High School,All Students,Mathematics,1284459,86883,1661,20,491,444,414
2011-12,625,Savannah-Chatham County,117,New Hampstead High School,All Students,Reading,1284459,86895,1668,20,488,450,423
2011-12,625,Savannah-Chatham County,117,New Hampstead High School,All Students,Writing,1284459,85322,1635,20,364,333,112
2011-12,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Combined,1284459,86367,1655,176,1342,1227,1016
2011-12,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Mathematics,1284459,86883,1661,177,491,444,358
2011-12,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Reading,1284459,86895,1668,175,488,450,364
2011-12,625,Savannah-Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Writing,1284459,85322,1635,175,364,333,294
2011-12,625,Savannah-Chatham County,411,Islands High School,All Students,Combined,1284459,86367,1655,109,1342,1227,1314
2011-12,625,Savannah-Chatham County,411,Islands High School,All Students,Mathematics,1284459,86883,1661,108,491,444,469
2011-12,625,Savannah-Chatham County,411,Islands High School,All Students,Reading,1284459,86895,1668,111,488,450,485
2011-12,625,Savannah-Chatham County,411,Islands High School,All Students,Writing,1284459,85322,1635,108,364,333,360
2011-12,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Combined,1284459,86367,1655,322,1342,1227,1494
2011-12,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Mathematics,1284459,86883,1661,325,491,444,548
2011-12,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Reading,1284459,86895,1668,325,488,450,559
2011-12,625,Savannah-Chatham County,499,Savannah Arts Academy,All Students,Writing,1284459,85322,1635,316,364,333,388
2011-12,625,Savannah-Chatham County,2052,Beach High School,All Students,Combined,1284459,86367,1655,121,1342,1227,1061
2011-12,625,Savannah-Chatham County,2052,Beach High School,All Students,Mathematics,1284459,86883,1661,121,491,444,374
2011-12,625,Savannah-Chatham County,2052,Beach High School,All Students,Reading,1284459,86895,1668,122,488,450,367
2011-12,625,Savannah-Chatham County,2052,Beach High School,All Students,Writing,1284459,85322,1635,121,364,333,320
2011-12,625,Savannah-Chatham County,3056,Groves High School,All Students,Combined,1284459,86367,1655,223,1342,1227,1143
2011-12,625,Savannah-Chatham County,3056,Groves High School,All Students,Mathematics,1284459,86883,1661,224,491,444,399
2011-12,625,Savannah-Chatham County,3056,Groves High School,All Students,Reading,1284459,86895,1668,225,488,450,399
2011-12,625,Savannah-Chatham County,3056,Groves High School,All Students,Writing,1284459,85322,1635,221,364,333,345
2011-12,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Combined,1284459,86367,1655,231,1342,1227,1235
2011-12,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Mathematics,1284459,86883,1661,231,491,444,456
2011-12,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Reading,1284459,86895,1668,233,488,450,463
2011-12,625,Savannah-Chatham County,5060,Jenkins High School,All Students,Writing,1284459,85322,1635,229,364,333,316
2011-12,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Combined,1284459,86367,1655,203,1342,1227,1201
2011-12,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Mathematics,1284459,86883,1661,203,491,444,441
2011-12,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Reading,1284459,86895,1668,206,488,450,441
2011-12,625,Savannah-Chatham County,5070,Windsor Forest High School,All Students,Writing,1284459,85322,1635,201,364,333,320
2011-12,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Combined,1284459,86367,48,48,1342,1235,1235
2011-12,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Mathematics,1284459,86883,48,48,491,436,436
2011-12,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Reading,1284459,86895,49,49,488,454,454
2011-12,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Writing,1284459,85322,48,48,364,346,346
2011-12,627,Chattooga County,1050,Chattooga High School,All Students,Combined,1284459,86367,66,66,1342,1229,1229
2011-12,627,Chattooga County,1050,Chattooga High School,All Students,Mathematics,1284459,86883,66,66,491,438,438
2011-12,627,Chattooga County,1050,Chattooga High School,All Students,Reading,1284459,86895,67,67,488,443,443
2011-12,627,Chattooga County,1050,Chattooga High School,All Students,Writing,1284459,85322,66,66,364,348,348
2011-12,628,Cherokee County,106,Creekview High School,All Students,Combined,1284459,86367,1900,381,1342,1454,1459
2011-12,628,Cherokee County,106,Creekview High School,All Students,Mathematics,1284459,86883,1903,382,491,533,541
2011-12,628,Cherokee County,106,Creekview High School,All Students,Reading,1284459,86895,1920,386,488,527,530
2011-12,628,Cherokee County,106,Creekview High School,All Students,Writing,1284459,85322,1877,376,364,394,388
2011-12,628,Cherokee County,115,River Ridge High School,All Students,Combined,1284459,86367,1900,130,1342,1454,1347
2011-12,628,Cherokee County,115,River Ridge High School,All Students,Mathematics,1284459,86883,1903,129,491,533,498
2011-12,628,Cherokee County,115,River Ridge High School,All Students,Reading,1284459,86895,1920,132,488,527,509
2011-12,628,Cherokee County,115,River Ridge High School,All Students,Writing,1284459,85322,1877,129,364,394,340
2011-12,628,Cherokee County,176,Etowah High School,All Students,Combined,1284459,86367,1900,368,1342,1454,1472
2011-12,628,Cherokee County,176,Etowah High School,All Students,Mathematics,1284459,86883,1903,371,491,533,542
2011-12,628,Cherokee County,176,Etowah High School,All Students,Reading,1284459,86895,1920,369,488,527,538
2011-12,628,Cherokee County,176,Etowah High School,All Students,Writing,1284459,85322,1877,365,364,394,392
2011-12,628,Cherokee County,191,Sequoyah High School,All Students,Combined,1284459,86367,1900,368,1342,1454,1444
2011-12,628,Cherokee County,191,Sequoyah High School,All Students,Mathematics,1284459,86883,1903,367,491,533,527
2011-12,628,Cherokee County,191,Sequoyah High School,All Students,Reading,1284459,86895,1920,374,488,527,522
2011-12,628,Cherokee County,191,Sequoyah High School,All Students,Writing,1284459,85322,1877,363,364,394,395
2011-12,628,Cherokee County,194,Polaris Evening School,All Students,Combined,1284459,86367,1900,TFS,1342,1454,
2011-12,628,Cherokee County,194,Polaris Evening School,All Students,Mathematics,1284459,86883,1903,TFS,491,533,
2011-12,628,Cherokee County,194,Polaris Evening School,All Students,Reading,1284459,86895,1920,TFS,488,527,
2011-12,628,Cherokee County,194,Polaris Evening School,All Students,Writing,1284459,85322,1877,TFS,364,394,
2011-12,628,Cherokee County,197,Woodstock High School,All Students,Combined,1284459,86367,1900,438,1342,1454,1466
2011-12,628,Cherokee County,197,Woodstock High School,All Students,Mathematics,1284459,86883,1903,440,491,533,532
2011-12,628,Cherokee County,197,Woodstock High School,All Students,Reading,1284459,86895,1920,441,488,527,524
2011-12,628,Cherokee County,197,Woodstock High School,All Students,Writing,1284459,85322,1877,432,364,394,409
2011-12,628,Cherokee County,5050,Cherokee High School,All Students,Combined,1284459,86367,1900,205,1342,1454,1482
2011-12,628,Cherokee County,5050,Cherokee High School,All Students,Mathematics,1284459,86883,1903,204,491,533,539
