sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
6282054,628,Cherokee County,Oak Grove Elementary School,2054,C,76.7
628213,628,Cherokee County,Ball Ground Elementary School,213,C,75.7
628287,628,Cherokee County,Teasley Middle School,287,C,74.3
628297,628,Cherokee County,Woodstock Middle School,297,B,85.30000000000001
628305,628,Cherokee County,Creekland Middle School,305,B,84.40000000000001
6283052,628,Cherokee County,Hickory Flat Elementary School,3052,B,88.5
628309,628,Cherokee County,Little River Elem.,309,C,73.90000000000001
628313,628,Cherokee County,Clark Creek Elementary School,313,C,78.5
628397,628,Cherokee County,Arnold Mill Elementary School,397,C,77.5
628505,628,Cherokee County,Free Home Elementary School,505,C,76.60000000000001
6285050,628,Cherokee County,Cherokee High School,5050,C,71.8
6285052,628,Cherokee County,Macedonia Elementary School,5052,B,88.60000000000001
628509,628,Cherokee County,J. Knox Elementary,509,C,75
629102,629,Clarke County,Cedar Shoals High School,102,D,60.3
629104,629,Clarke County,Classic City High School,104,F,43.6
629105,629,Clarke County,Alps Road Elementary School,105,F,54.3
6291058,629,Clarke County,Clarke Middle School,1058,C,71
6291062,629,Clarke County,Whitehead Road Elementary School,1062,C,70
629112,629,Clarke County,Judia Jackson Harris Elementary,112,D,64.90000000000001
629178,629,Clarke County,Timothy Elementary School,178,B,82
629191,629,Clarke County,Cleveland Road Elementary School,191,D,68.10000000000001
629196,629,Clarke County,Coile Middle School,196,D,63
629205,629,Clarke County,Gaines Elementary School,205,F,57.2
6292056,629,Clarke County,Barnett Shoals Elementary School,2056,D,68.3
6292062,629,Clarke County,Winterville Elementary School,2062,F,52.90000000000001
629291,629,Clarke County,Howard B. Stroud Elementary School,291,D,62.6
629296,629,Clarke County,Burney-Harris-Lyons Middle School,296,D,60
6293056,629,Clarke County,Barrow Elementary School,3056,B,81.90000000000001
6293058,629,Clarke County,Fowler Drive Elementary School,3058,F,58.40000000000001
629391,629,Clarke County,Whit Davis Road Elementary School,391,D,67.3
6294060,629,Clarke County,Oglethorpe Avenue Elementary School,4060,C,71.8
6295056,629,Clarke County,Chase Street Elementary School,5056,A,94.2
6295058,629,Clarke County,Hilsman Middle School,5058,D,66.8
6295556,629,Clarke County,Clarke Central High School,5556,C,79.10000000000001
630104,630,Clay County,Clay County Middle School,104,F,54.8
630204,630,Clay County,Clay County Elementary,204,D,63.6
631100,631,Clayton County,M. D. Roberts Middle School,100,B,84.30000000000001
631103,631,Clayton County,Callaway Elementary School,103,F,59.8
631104,631,Clayton County,Mundy's Mill High School,104,D,68.90000000000001
631105,631,Clayton County,Thurgood Marshall Elementary School,105,C,70.7
6311050,631,Clayton County,Anderson Elementary School,1050,D,60.5
6311052,631,Clayton County,East Clayton Elementary School,1052,C,72.3
6311054,631,Clayton County,Forest Park High School,1054,F,59.6
6311056,631,Clayton County,Jonesboro High School,1056,C,70.7
6311058,631,Clayton County,Lee Street Elementary School,1058,F,49.40000000000001
631106,631,Clayton County,Jonesboro Middle School,106,F,54.90000000000001
6311060,631,Clayton County,Northcutt Elementary School,1060,F,56.8
6311062,631,Clayton County,Tara Elementary School,1062,F,53.8
631107,631,Clayton County,Sequoyah Middle School,107,F,59.3
631109,631,Clayton County,Mount Zion Primary,109,,
631114,631,Clayton County,Elite Scholars Academy School,114,A,94.90000000000001
631115,631,Clayton County,Charles R. Drew High School,115,D,63.2
631116,631,Clayton County,Eddie White Middle School,116,D,66.7
631117,631,Clayton County,Morrow Middle School,117,D,69.60000000000001
6311550,631,Clayton County,Arnold Elementary School,1550,B,82.60000000000001
631173,631,Clayton County,Kilpatrick Elementary School,173,D,67.60000000000001
631174,631,Clayton County,Mundys Mill Middle School,174,D,64.2
631175,631,Clayton County,Brown Elementary School,175,D,62.7
631176,631,Clayton County,Mount Zion Elementary School,176,C,76.3
631177,631,Clayton County,Adamson Middle School,177,D,61.7
631181,631,Clayton County,Pointe South Elementary School,181,F,58
631190,631,Clayton County,Lovejoy High School,190,D,64.90000000000001
631191,631,Clayton County,Lovejoy Middle School,191,F,56.40000000000001
