SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2016,District Level,706,Muscogee County,All,All,American Literature and Composition,2057,2056,1226,TFS,1326.8
2016,District Level,707,Newton County,All,All,9th Grade Literature and Composition,1567,1567,1030,TFS,1222.7
2016,District Level,707,Newton County,All,All,American Literature and Composition,1320,1320,803,TFS,1325.4
2016,District Level,708,Oconee County,All,All,9th Grade Literature and Composition,625,625,521,TFS,1358
2016,District Level,708,Oconee County,All,All,American Literature and Composition,585,585,484,TFS,1494.6
2016,District Level,709,Oglethorpe County,All,All,9th Grade Literature and Composition,172,172,112,TFS,1242.2
2016,District Level,709,Oglethorpe County,All,All,American Literature and Composition,141,141,71,TFS,1298.3
2016,District Level,710,Paulding County,All,All,9th Grade Literature and Composition,2510,2509,1589,TFS,1217.3
2016,District Level,710,Paulding County,All,All,American Literature and Composition,2239,2238,1379,TFS,1342.6
2016,District Level,711,Peach County,All,All,9th Grade Literature and Composition,254,254,143,TFS,1175.9
2016,District Level,711,Peach County,All,All,American Literature and Composition,246,246,139,TFS,1299.8
2016,District Level,712,Pickens County,All,All,9th Grade Literature and Composition,400,400,258,TFS,1237.4
2016,District Level,712,Pickens County,All,All,American Literature and Composition,316,316,191,TFS,1343.9
2016,District Level,713,Pierce County,All,All,9th Grade Literature and Composition,273,273,180,TFS,1251.6
2016,District Level,713,Pierce County,All,All,American Literature and Composition,241,241,143,TFS,1336.3
2016,District Level,714,Pike County,All,All,9th Grade Literature and Composition,322,322,203,TFS,1220.4
2016,District Level,714,Pike County,All,All,American Literature and Composition,248,248,151,TFS,1343.1
2016,District Level,715,Polk County,All,All,9th Grade Literature and Composition,618,618,359,TFS,1187.5
2016,District Level,715,Polk County,All,All,American Literature and Composition,494,494,270,TFS,1292.7
2016,District Level,716,Pulaski County,All,All,9th Grade Literature and Composition,119,119,57,TFS,1138.8
2016,District Level,716,Pulaski County,All,All,American Literature and Composition,84,84,33,TFS,1258.8
2016,District Level,717,Putnam County,All,All,9th Grade Literature and Composition,199,194,141,TFS,1242.1
2016,District Level,717,Putnam County,All,All,American Literature and Composition,184,184,117,TFS,1338.2
2016,District Level,718,Quitman County,All,All,9th Grade Literature and Composition,34,34,TFS,TFS,1062.2
2016,District Level,718,Quitman County,All,All,American Literature and Composition,15,15,TFS,TFS,1274.3
2016,District Level,719,Rabun County,All,All,9th Grade Literature and Composition,192,192,109,TFS,1196
2016,District Level,719,Rabun County,All,All,American Literature and Composition,164,164,97,TFS,1318.9
2016,District Level,720,Randolph County,All,All,9th Grade Literature and Composition,65,65,21,TFS,1087.5
2016,District Level,720,Randolph County,All,All,American Literature and Composition,78,78,18,TFS,1098.8
2016,District Level,721,Richmond County,All,All,9th Grade Literature and Composition,2269,2267,997,TFS,1120.8
2016,District Level,721,Richmond County,All,All,American Literature and Composition,1893,1893,795,TFS,1213.7
2016,District Level,722,Rockdale County,All,All,9th Grade Literature and Composition,1431,1431,853,TFS,1201.7
2016,District Level,722,Rockdale County,All,All,American Literature and Composition,1277,1276,747,TFS,1321.7
2016,District Level,723,Schley County,All,All,9th Grade Literature and Composition,117,117,78,TFS,1225.4
2016,District Level,723,Schley County,All,All,American Literature and Composition,85,85,56,TFS,1354.1
2016,District Level,724,Screven County,All,All,9th Grade Literature and Composition,167,167,86,TFS,1163.3
2016,District Level,724,Screven County,All,All,American Literature and Composition,123,123,56,TFS,1255.6
2016,District Level,725,Seminole County,All,All,9th Grade Literature and Composition,129,129,79,TFS,1203.3
2016,District Level,725,Seminole County,All,All,American Literature and Composition,114,114,78,TFS,1371.4
2016,District Level,726,Griffin-Spalding County,All,All,9th Grade Literature and Composition,733,731,279,TFS,1092.8
2016,District Level,726,Griffin-Spalding County,All,All,American Literature and Composition,651,651,286,TFS,1235.9
2016,District Level,727,Stephens County,All,All,9th Grade Literature and Composition,312,312,204,TFS,1216.8
2016,District Level,727,Stephens County,All,All,American Literature and Composition,252,252,148,TFS,1325.6
2016,District Level,728,Stewart County,All,All,9th Grade Literature and Composition,29,29,11,TFS,1095.5
