"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED"
"School","0186","608","2014-15","Mission Road Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,9,9,4,77,0,59,10.9,6,,,47,9.9,,,52,10.9,19,4,1,4,,,0,0,77,16.1
"School","0190","608","2014-15","South Central Middle School","Bartow County","06,07,08",1,0,9,16,4,69,0,75,13.5,4,95,14.9,,,,,86,13.5,19,3,0,0,,,4,0.6,59,9.2
"School","0195","608","2014-15","Cass Middle School","Bartow County","06,07,08",1,0,13,14,4,68,0,62,10.4,4,169,17.4,,,,,101,10.4,27,2.8,0,0,,,8,0.8,147,15.1
"School","0196","608","2014-15","Allatoona Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,4,25,3,67,0,80,13.2,19,,,56,12.7,,,58,13.2,65,14.8,3,12,,,0,0,36,8.2
"School","0198","608","2014-15","Woodland High School","Bartow County","09,10,11,12",1,0,9,9,2,79,0,47,10.8,1,,,,,221,13.1,182,10.8,4,0.2,0,0,922,54.6,25,1.5,214,12.7
"School","0296","608","2014-15","Kingston Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,17,18,4,59,0,81,9.8,18,,,56,11.2,,,49,9.8,56,11.2,5,19.2,,,2,0.4,35,7
"School","0301","608","2014-15","Adairsville Middle School","Bartow County","06,07,08",1,0,5,5,3,87,0,54,12.2,2,155,22.2,,,,,85,12.2,9,1.3,0,0,,,6,0.9,138,19.8
"School","0377","608","2014-15","Hamilton Crossing Elementary School","Bartow County","PK,KK,01,02,03,04,05",2,0,11,22,4,61,0,56,14,20,,,46,8.2,,,78,14,88,15.8,12,35.3,,,0,0,69,12.4
"School","0396","608","2014-15","Taylorsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,5,8,3,83,0,59,8.3,7,,,48,9.5,,,42,8.3,15,3,1,2.7,,,0,0,21,4.2
"School","2052","608","2014-15","Emerson Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,4,10,6,79,0,75,11.8,8,,,93,22.9,,,48,11.8,23,5.7,3,10.3,,,0,0,43,10.6
"District","ALL","608","2014-15","All Column Values","Bartow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,9,11,3,76,0,59,11.5,6,532,16.9,695,11.2,387,9.1,1558,11.5,535,3.9,78,17,2859,67.6,88,0.6,1599,11.8
"School","0111","609","2014-15","Ben Hill Elementary School","Ben Hill County","03,04,05",1,0,43,14,4,39,1,85,13.2,9,,,65,9.3,,,92,13.2,24,3.4,0,0,,,2,0.3,63,9
"School","0196","609","2014-15","Ben Hill County Primary School","Ben Hill County","PK,KK,01,02",1,0,43,12,3,42,1,90,12.3,8,,,155,17.2,,,111,12.3,67,7.4,37,17.7,,,0,0,17,1.9
