LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Economics: Macro,26,26,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Economics: Micro,136,136,22
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,241,242,26
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Eng. Literature & Comp,152,152,27
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Environmental Science,113,113,4
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,European History,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Geography: Human,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. Comp,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,197,200,21
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Music Theory,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Physics 1,101,101,9
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Psychology,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Spanish Language,TFS,,
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,Statistics,79,79,2
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,179,180,13
2014-15,611,Bibb County,SCHOOL_ALL,SCHOOL_ALL,World History,271,276,33
2014-15,612,Bleckley County,105,Bleckley County High School,ALL Subjects,43,55,22
2014-15,612,Bleckley County,105,Bleckley County High School,Biology,TFS,,
2014-15,612,Bleckley County,105,Bleckley County High School,Calculus A,12,12,2
2014-15,612,Bleckley County,105,Bleckley County High School,Eng. Language & Comp,24,24,12
2014-15,612,Bleckley County,105,Bleckley County High School,Gov. & Pol. U.S.,TFS,,
2014-15,612,Bleckley County,105,Bleckley County High School,U.S. History,TFS,,
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,43,55,22
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Biology,TFS,,
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,12,12,2
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,24,24,12
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,Gov. & Pol. U.S.,TFS,,
2014-15,612,Bleckley County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2014-15,613,Brantley County,1050,Brantley County High School,ALL Subjects,81,93,38
2014-15,613,Brantley County,1050,Brantley County High School,Biology,48,48,9
2014-15,613,Brantley County,1050,Brantley County High School,Calculus A,TFS,,
2014-15,613,Brantley County,1050,Brantley County High School,Eng. Language & Comp,11,11,6
2014-15,613,Brantley County,1050,Brantley County High School,Psychology,19,19,13
2014-15,613,Brantley County,1050,Brantley County High School,U.S. History,TFS,,
2014-15,613,Brantley County,1050,Brantley County High School,World History,TFS,,
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,ALL Subjects,81,93,38
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Biology,48,48,9
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Calculus A,TFS,,
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Eng. Language & Comp,11,11,6
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,Psychology,19,19,13
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,U.S. History,TFS,,
2014-15,613,Brantley County,SCHOOL_ALL,SCHOOL_ALL,World History,TFS,,
2014-15,614,Brooks County,110,Brooks County High School,ALL Subjects,29,29,5
2014-15,614,Brooks County,110,Brooks County High School,Eng. Language & Comp,13,13,2
2014-15,614,Brooks County,110,Brooks County High School,Eng. Literature & Comp,15,15,2
