"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2015-16","647","Dougherty County","ALL","All Column Values","Teachers and Paraprofessionals",49963546.42,23137523.7,73101070.12,49.95,42.07,51.29,41.48
"2015-16","648","Douglas County","ALL","All Column Values","General Administration",1180034.05,693383.49,1873417.54,0.78,0.66,0.82,0.68
"2015-16","648","Douglas County","ALL","All Column Values","School Administration",8020539.23,4279056.38,12299595.61,5.13,4.32,5.4,4.44
"2015-16","648","Douglas County","ALL","All Column Values","Teachers and Paraprofessionals",91521761.57,40454601.72,131976363.29,55.01,46.36,57.98,47.59
"2015-16","649","Early County","ALL","All Column Values","General Administration",313760.28,145775.12,459535.4,2.16,1.91,2.27,1.75
"2015-16","649","Early County","ALL","All Column Values","School Administration",704967.09,287512.6,992479.69,4.67,4.13,4.91,3.78
"2015-16","649","Early County","ALL","All Column Values","Teachers and Paraprofessionals",8561980.7,3732697.55,12294678.25,57.81,51.2,60.84,46.78
"2015-16","650","Echols County","ALL","All Column Values","General Administration",251692.95,122123.15,373816.1,4.73,4.15,4.57,4.03
"2015-16","650","Echols County","ALL","All Column Values","School Administration",242567.61,124378.01,366945.62,4.65,4.07,4.49,3.96
"2015-16","650","Echols County","ALL","All Column Values","Teachers and Paraprofessionals",3044206.34,1384758.1,4428964.44,56.08,49.17,54.16,47.8
"2015-16","651","Effingham County","ALL","All Column Values","General Administration",1119966.72,492807.78,1612774.5,1.68,1.48,1.66,1.38
"2015-16","651","Effingham County","ALL","All Column Values","School Administration",3166019.71,1489042.92,4655062.63,4.84,4.27,4.8,3.98
"2015-16","651","Effingham County","ALL","All Column Values","Teachers and Paraprofessionals",44700217.24,17171104.4,61871321.64,64.38,56.82,63.84,52.9
"2015-16","652","Elbert County","ALL","All Column Values","General Administration",228750.06,197560.2,426310.26,1.46,1.28,1.56,1.35
"2015-16","652","Elbert County","ALL","All Column Values","School Administration",921248.9,526451.14,1447700.04,4.97,4.34,5.28,4.58
"2015-16","652","Elbert County","ALL","All Column Values","Teachers and Paraprofessionals",10525757.6,5058190.31,15583947.91,53.49,46.68,56.87,49.31
"2015-16","653","Emanuel County","ALL","All Column Values","General Administration",408076.73,184607.39,592684.12,1.68,1.46,1.73,1.47
"2015-16","653","Emanuel County","ALL","All Column Values","School Administration",1184396.06,627128.23,1811524.29,5.15,4.48,5.28,4.49
"2015-16","653","Emanuel County","ALL","All Column Values","Teachers and Paraprofessionals",13695699.3,6613046.12,20308745.42,57.68,50.18,59.18,50.35
"2015-16","654","Evans County","ALL","All Column Values","General Administration",125568.74,96001.59,221570.33,1.38,1.19,1.33,1.17
"2015-16","654","Evans County","ALL","All Column Values","School Administration",723953.21,276931.02,1000884.23,6.22,5.38,6.02,5.29
"2015-16","654","Evans County","ALL","All Column Values","Teachers and Paraprofessionals",5886321.7,2444907.56,8331229.26,51.78,44.81,50.14,44.03
"2015-16","655","Fannin County","ALL","All Column Values","General Administration",559240.42,225915.81,785156.23,2.32,1.93,2.44,2.01
