"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","673","Hart County","ALL","All Schools",209,108,51.67
"2013-14","674","Heard County","0110","Heard County High School",125,60,48
"2013-14","674","Heard County","ALL","All Schools",125,60,48
"2013-14","675","Henry County","0101","Union Grove High",344,178,51.74
"2013-14","675","Henry County","0104","Luella High School",337,102,30.27
"2013-14","675","Henry County","0105","Dutchtown High",307,88,28.66
"2013-14","675","Henry County","0195","Patrick Henry High School",51,2,3.92
"2013-14","675","Henry County","0214","Locust Grove High",230,88,38.26
"2013-14","675","Henry County","0295","Stockbridge High School",225,53,23.56
"2013-14","675","Henry County","0307","Ola High School",347,125,36.02
"2013-14","675","Henry County","0391","Eagle's Landing High School",245,53,21.63
"2013-14","675","Henry County","0408","Woodland High School",282,74,26.24
"2013-14","675","Henry County","3050","Henry County High School",167,43,25.75
"2013-14","675","Henry County","ALL","All Schools",2535,806,31.79
"2013-14","676","Houston County","0111","Veterans High School",288,176,61.11
"2013-14","676","Houston County","0192","Houston County High School",364,234,64.29
"2013-14","676","Houston County","0300","Houston County Career Academy",23,3,13.04
"2013-14","676","Houston County","1054","Perry High School",275,146,53.09
"2013-14","676","Houston County","2052","Northside High School",311,131,42.12
"2013-14","676","Houston County","4056","Warner Robins High School",325,173,53.23
"2013-14","676","Houston County","ALL","All Schools",1586,863,54.41
"2013-14","677","Irwin County","2050","Irwin County High School",76,36,47.37
"2013-14","677","Irwin County","ALL","All Schools",76,36,47.37
"2013-14","678","Jackson County","0107","East Jackson Comprehensive High School",175,90,51.43
"2013-14","678","Jackson County","0191","Jackson County High School",195,98,50.26
"2013-14","678","Jackson County","ALL","All Schools",370,188,50.81
"2013-14","679","Jasper County","0108","Jasper County High School",91,35,38.46
"2013-14","679","Jasper County","ALL","All Schools",91,35,38.46
"2013-14","680","Jeff Davis County","0199","Jeff Davis High School",131,70,53.44
"2013-14","680","Jeff Davis County","ALL","All Schools",131,70,53.44
"2013-14","681","Jefferson County","0196","Jefferson County High School",129,49,37.98
"2013-14","681","Jefferson County","ALL","All Schools",129,49,37.98
"2013-14","682","Jenkins County","0201","Jenkins County High School",71,23,32.39
"2013-14","682","Jenkins County","ALL","All Schools",71,23,32.39
"2013-14","683","Johnson County","0201","Johnson County High School",67,42,62.69
"2013-14","683","Johnson County","ALL","All Schools",67,42,62.69
"2013-14","684","Jones County","0192","Jones County High School",288,109,37.85
"2013-14","684","Jones County","ALL","All Schools",288,109,37.85
"2013-14","685","Lamar County","0175","Lamar County High School",139,52,37.41
"2013-14","685","Lamar County","ALL","All Schools",139,52,37.41
"2013-14","686","Lanier County","0201","Lanier County High School",71,30,42.25
"2013-14","686","Lanier County","ALL","All Schools",71,30,42.25
"2013-14","687","Laurens County","0110","West Laurens High School",241,118,48.96
"2013-14","687","Laurens County","0197","East Laurens High School",104,56,53.85
"2013-14","687","Laurens County","ALL","All Schools",345,174,50.43
"2013-14","688","Lee County","0193","Lee County High School",304,142,46.71
"2013-14","688","Lee County","ALL","All Schools",304,142,46.71
"2013-14","689","Liberty County","0105","Bradwell Institute",306,97,31.7
"2013-14","689","Liberty County","0192","Liberty County High School",228,102,44.74
"2013-14","689","Liberty County","ALL","All Schools",534,199,37.27
"2013-14","690","Lincoln County","0110","Lincoln County High School",79,36,45.57
"2013-14","690","Lincoln County","ALL","All Schools",79,36,45.57
"2013-14","691","Long County","0205","Long County High School",116,51,43.97
"2013-14","691","Long County","ALL","All Schools",116,51,43.97
