"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","611","Bibb County","0286","Northeast High School","All Students","WritLang Test  Score - New",,27919,320,24,274,251,214
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Combined Test Score",,27919,320,32,1080,985,911
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Essay Analysis Score - New",,15889,157,5,4,4,
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Essay Reading Score - New",,15889,157,5,5,5,
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Essay Total",,15889,157,5,14,13,
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Essay Writing Score - New",,15889,157,5,5,5,
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Evidence Based Reading and Writing - New",,27919,320,32,550,502,465
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Math Section Score - New",,27919,320,32,530,483,447
"2015-16","611","Bibb County","0386","Southwest High School","All Students","Reading Test  Score - New",,27919,320,32,276,251,229
"2015-16","611","Bibb County","0386","Southwest High School","All Students","WritLang Test  Score - New",,27919,320,32,274,251,236
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Combined Test Score",,27919,10,10,1080,1004,1004
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Analysis Score - New",,15889,2,2,4,,
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Reading Score - New",,15889,2,2,5,,
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Total",,15889,2,2,14,,
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Essay Writing Score - New",,15889,2,2,5,,
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Evidence Based Reading and Writing - New",,27919,10,10,550,493,493
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Math Section Score - New",,27919,10,10,530,511,511
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","Reading Test  Score - New",,27919,10,10,276,242,242
"2015-16","612","Bleckley County","0105","Bleckley County High School","All Students","WritLang Test  Score - New",,27919,10,10,274,251,251
"2015-16","613","Brantley County","1050","Brantley County High School","All Students","Combined Test Score",,27919,33,33,1080,1055,1055
