"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2020-21","School","611","Bibb County","0203","Vineville Academy","PK,KK,01,02,03,04,05",491,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0204","Rutland High School","09,10,11,12",924,"34","TFS","TFS","TFS","TFS","20","59","TFS","TFS","TFS","TFS","12","35","20","59","14","41"
"2020-21","School","611","Bibb County","0205","Howard Middle School","06,07,08",1103,"24","TFS","TFS","TFS","TFS","14","58","TFS","TFS","TFS","TFS","TFS","TFS","20","83","TFS","TFS"
"2020-21","School","611","Bibb County","0286","Northeast High School","09,10,11,12",714,"35","TFS","TFS","TFS","TFS","34","97","TFS","TFS","TFS","TFS","TFS","TFS","19","54","16","46"
"2020-21","School","611","Bibb County","0298","Miller Magnet Middle School","06,07,08",563,"10","TFS","TFS","TFS","TFS","10","100","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0305","Rutland Middle School","06,07,08",815,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0307","Price Academy","03,04,05,06,07,08,09,10,11",21,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0383","Williams Elementary School","KK,01,02,03,04,05",299,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0386","Southwest High School","09,10,11,12",790,"133","TFS","TFS","TFS","TFS","125","94","TFS","TFS","TFS","TFS","TFS","TFS","76","57","57","43"
"2020-21","School","611","Bibb County","0405","Rosa Taylor Elementary School","PK,KK,01,02,03,04,05",538,"21","TFS","TFS","TFS","TFS","16","76","TFS","TFS","TFS","TFS","TFS","TFS","13","62","TFS","TFS"
"2020-21","School","611","Bibb County","0505","Weaver Middle School","06,07,08",952,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","0605","Heritage Elementary School","PK,KK,01,02,03,04,05",557,"13","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","10","77","TFS","TFS"
"2020-21","School","611","Bibb County","0705","Union Elementary School","PK,KK,01,02,03,04,05",464,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1050","Alexander II Magnet School","PK,KK,01,02,03,04,05",456,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1054","Bernd Elementary School","PK,KK,01,02,03,04,05",386,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1067","Porter Elementary School","PK,KK,01,02,03,04,05",345,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1105","Springdale Elementary School","PK,KK,01,02,03,04,05",502,"17","TFS","TFS","TFS","TFS","11","65","TFS","TFS","TFS","TFS","TFS","TFS","11","65","TFS","TFS"
"2020-21","School","611","Bibb County","1205","Carter Elementary School","PK,KK,01,02,03,04,05",400,"23","TFS","TFS","TFS","TFS","19","83","TFS","TFS","TFS","TFS","TFS","TFS","12","52","11","48"
"2020-21","School","611","Bibb County","1305","Lane Elementary School","PK,KK,01,02,03,04,05",427,"13","TFS","TFS","TFS","TFS","12","92","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1306","Martin Luther King Jr Elementary School","PK,KK,01,02,03,04,05",539,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1307","Southfield Elementary School","PK,KK,01,02,03,04,05",744,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1309","Veterans Elementary School","PK,KK,01,02,03,04,05",692,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","1310","John Robert Lewis Elementary School","PK,KK,01,02,03,04,05",586,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","2060","Hartley Elementary School","KK,01,02,03,04,05",472,"26","TFS","TFS","TFS","TFS","26","100","TFS","TFS","TFS","TFS","TFS","TFS","17","65","TFS","TFS"
"2020-21","School","611","Bibb County","3060","Heard Elementary School","PK,KK,01,02,03,04,05",484,"12","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","611","Bibb County","3067","Ingram/Pye Elementary School","PK,KK,01,02,03,04,05",375,"21","TFS","TFS","TFS","TFS","20","95","TFS","TFS","TFS","TFS","TFS","TFS","15","71","TFS","TFS"
"2020-21","School","611","Bibb County","5050","Appling Middle School","06,07,08",743,"38","TFS","TFS","TFS","TFS","34","90","TFS","TFS","TFS","TFS","TFS","TFS","27","71","11","29"
"2020-21","District","611","Bibb County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",20548,"828","TFS","TFS","TFS","TFS","709","86","34","4","17","2","66","8","496","60","332","40"
"2020-21","School","612","Bleckley County","0105","Bleckley County High School","09,10,11,12",633,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","612","Bleckley County","0112","Bleckley Middle School","06,07,08",567,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","612","Bleckley County","0115","Bleckley County Success Academy","06,07,08,09,10,11,12",55,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","612","Bleckley County","0197","Bleckley County Elementary School","03,04,05",539,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","612","Bleckley County","1050","Bleckley County Primary School","PK,KK,01,02",590,"51","TFS","TFS","TFS","TFS","21","41","TFS","TFS","TFS","TFS","28","55","37","73","14","28"
