SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
634:295,West Coffee Middle School,1164,5
634:3052,West Green Elementary School,260,0
634:4550,East Coffee Middle School,676,23
634:5050,Westside Elementary School,420,10
634:ALL,Coffee County,5228,54
635:1554,Colquitt County High School,464,7
635:178,Doerun Elementary School,142,0
635:187,Odom Elementary School,434,3
635:2052,Funston Elementary School,228,1
635:2056,Wright Elementary School,362,2
635:278,Norman Park Elementary School,411,4
635:3050,Stringfellow Elementary School,252,0
635:3052,Gray Middle School,959,2
635:3054,Okapilco Elementary School,301,2
635:4050,Cox Elementary School,360,3
635:4052,Hamilton Elementary School,188,0
635:5052,Willie J. Williams Middle School,942,22
635:5054,Sunset Elementary School,455,3
635:ALL,Colquitt County,5498,49
636:101,Greenbrier Middle School,719,10
636:102,Lewiston Elementary School,391,8
636:103,Grovetown Middle School,485,0
636:1050,Bel Air Elementary School,423,0
636:173,Westmont Elementary School,500,0
636:176,Evans Middle School,812,11
636:183,Harlem High School,197,0
636:186,Evans Elementary School,386,4
636:188,Blue Ridge Elementary School,618,6
636:189,Lakeside High School,354,1
636:190,Brookwood Elementary School,468,15
636:192,Stevens Creek Elementary School,717,0
636:193,Riverside Middle School,950,6
636:194,Riverside Elementary School,831,0
636:197,Greenbrier High School,376,2
636:2050,Columbia Middle School,712,0
636:2052,Martinez Elementary School,444,0
636:283,Harlem Middle School,409,0
636:290,Lakeside Middle School,879,0
636:297,Greenbrier Elementary School,594,0
636:3052,North Columbia Elementary School,317,0
636:397,Euchee Creek Elementary School,416,6
636:4050,Evans High School,357,1
636:4052,North Harlem Elementary School,437,4
636:5050,Grovetown Elementary School,479,0
636:5052,South Columbia Elementary School,443,0
636:ALL,Columbia County,13714,74
637:101,Cook County Middle School,649,6
637:196,Cook Elementary School,1235,6
637:2050,Cook County High School,160,1
637:ALL,Cook County,2044,13
638:101,Arbor Springs Elementary,490,0
638:103,Willis Road Elementary,522,0
638:1050,Arnco-Sargent Elementary School,391,2
638:1054,Ruth Hill Elementary School,342,0
638:1056,Evans Middle School,714,26
638:189,White Oak Elementary School,607,0
638:191,Cannongate Elementary School,552,0
638:192,Newnan Crossing Elementary School,664,2
638:195,Jefferson Parkway Elementary School,262,31
638:196,Northgate High School,307,6
638:199,Poplar Road Elementary School,588,11
638:2050,Atkinson Elementary School,361,0
638:2052,Eastside Elementary School,458,0
638:2056,Northside Elementary School,346,0
638:289,East Coweta Middle School,899,0
638:295,Thomas Crossroads Elementary School,483,0
638:299,Madras Middle School,894,8
638:301,Smokey Road Middle School,927,0
638:3052,Elm Street Elementary School,336,3
638:3054,Moreland Elementary School,569,0
638:389,East Coweta High School,410,16
638:395,Arnall Middle School,1048,0
638:5054,Newnan High School,384,11
638:5056,Western Elementary School,392,0
638:ALL,Coweta County,12946,116
639:192,Crawford County Elementary School,767,6
639:193,Crawford County High School,104,0
639:202,Crawford County Middle School,498,7
639:ALL,Crawford County,1369,13
640:1050,Blackshear Trail Elementary School,276,0
640:196,Crisp County High School,186,2
640:197,Crisp County Middle School,970,5
640:2052,Southwestern Elementary School,578,5
640:297,A. S. Clark Elementary School,421,0
640:5050,J. S. Pate Elementary School,357,5
640:ALL,Crisp County,2788,17
641:101,Dade Elementary School,745,9
641:195,Dade County High School,154,0
641:275,Davis Elementary School,260,2
641:295,Dade Middle School,604,2
641:ALL,Dade County,1763,13
642:103,Kilough Elementary School,320,0
642:189,Robinson Elementary School,543,2
642:198,Dawson County High School,152,1
642:199,Black's Mill Elementary School,347,5
642:286,Dawson County Middle School,698,8
642:ALL,Dawson County,2060,16
643:1052,Elcan-King Elementary School,427,6
643:1054,Lillian E. Williams Elementary School,226,5
643:191,Potter Street Elementary School,337,7
