"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","YR8_CREDENTIAL","YR8_CREDENTIAL_PCT"
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Certificate",7.1
2007,"628","Cherokee County","0194","Polaris Evening School","Associates",8.5
2007,"628","Cherokee County","0194","Polaris Evening School","Other Credential",0.8
2007,"628","Cherokee County","0194","Polaris Evening School","Bachelors",6.8
2007,"628","Cherokee County","0194","Polaris Evening School","No Postsecondary Credential/Enrolled",8.5
2007,"628","Cherokee County","0194","Polaris Evening School","Certificate",1.7
2007,"628","Cherokee County","0194","Polaris Evening School","No Postsecondary Credential/Not Enrolled",73.7
2007,"629","Clarke County","0102","Cedar Shoals High School","No Postsecondary Credential/Enrolled",6.6
2007,"629","Clarke County","0102","Cedar Shoals High School","Bachelors",25.3
2007,"629","Clarke County","0102","Cedar Shoals High School","Associates",12.1
2007,"629","Clarke County","0102","Cedar Shoals High School","Masters or Higher",4.9
2007,"629","Clarke County","0102","Cedar Shoals High School","Certificate",4.4
2007,"629","Clarke County","0102","Cedar Shoals High School","No Postsecondary Credential/Not Enrolled",45.1
2007,"629","Clarke County","0102","Cedar Shoals High School","Other Credential",1.6
2007,"631","Clayton County","0104","Mundy's Mill High School","Associates",3.1
2007,"631","Clayton County","0104","Mundy's Mill High School","Bachelors",26.1
2007,"631","Clayton County","0104","Mundy's Mill High School","Masters or Higher",1.4
2007,"631","Clayton County","0104","Mundy's Mill High School","No Postsecondary Credential/Not Enrolled",56.8
2007,"631","Clayton County","0104","Mundy's Mill High School","Certificate",2.1
2007,"631","Clayton County","0104","Mundy's Mill High School","No Postsecondary Credential/Enrolled",10.1
2007,"631","Clayton County","0104","Mundy's Mill High School","Other Credential",0.3
2007,"631","Clayton County","0377","Riverdale High School","No Postsecondary Credential/Not Enrolled",58.3
2007,"631","Clayton County","0377","Riverdale High School","No Postsecondary Credential/Enrolled",8.8
2007,"631","Clayton County","0377","Riverdale High School","Bachelors",21.8
2007,"631","Clayton County","0377","Riverdale High School","Certificate",1.4
2007,"631","Clayton County","0377","Riverdale High School","Associates",7.4
2007,"631","Clayton County","0377","Riverdale High School","Masters or Higher",1.4
2007,"631","Clayton County","0377","Riverdale High School","Other Credential",0.9
2007,"631","Clayton County","1054","Forest Park High School","Masters or Higher",2.3
2007,"631","Clayton County","1054","Forest Park High School","Other Credential",0.6
2007,"631","Clayton County","1054","Forest Park High School","No Postsecondary Credential/Enrolled",3.4
2007,"631","Clayton County","1054","Forest Park High School","No Postsecondary Credential/Not Enrolled",68.4
2007,"631","Clayton County","1054","Forest Park High School","Associates",4.5
2007,"631","Clayton County","1054","Forest Park High School","Bachelors",19.2
2007,"631","Clayton County","1054","Forest Park High School","Certificate",1.7
2007,"633","Cobb County","0103","Kell High School","Masters or Higher",4.3
2007,"633","Cobb County","0103","Kell High School","Bachelors",41.3
2007,"633","Cobb County","0103","Kell High School","Associates",4.6
2007,"633","Cobb County","0103","Kell High School","Certificate",1.5
2007,"633","Cobb County","0103","Kell High School","No Postsecondary Credential/Enrolled",6.8
2007,"633","Cobb County","0103","Kell High School","Other Credential",1.3
2007,"633","Cobb County","0103","Kell High School","No Postsecondary Credential/Not Enrolled",40.3
2007,"633","Cobb County","1054","Campbell High School","Associates",2
2007,"633","Cobb County","1054","Campbell High School","No Postsecondary Credential/Enrolled",8
2007,"633","Cobb County","1054","Campbell High School","No Postsecondary Credential/Not Enrolled",46.3
2007,"633","Cobb County","1054","Campbell High School","Masters or Higher",6.3
2007,"633","Cobb County","1054","Campbell High School","Bachelors",36.2
2007,"633","Cobb County","1054","Campbell High School","Certificate",0.9
2007,"633","Cobb County","1054","Campbell High School","Other Credential",0.3
2007,"636","Columbia County","0183","Harlem High School","Associates",7.1
2007,"636","Columbia County","0183","Harlem High School","No Postsecondary Credential/Enrolled",13.1
2007,"636","Columbia County","0183","Harlem High School","Certificate",4.5
2007,"636","Columbia County","0183","Harlem High School","Masters or Higher",2
2007,"636","Columbia County","0183","Harlem High School","Bachelors",21.7
2007,"636","Columbia County","0183","Harlem High School","No Postsecondary Credential/Not Enrolled",51.5
2007,"641","Dade County","ALL","All Dade County High Schools","No Postsecondary Credential/Enrolled",2.7
2007,"641","Dade County","ALL","All Dade County High Schools","Bachelors",18.4
2007,"641","Dade County","ALL","All Dade County High Schools","Other Credential",2
2007,"641","Dade County","ALL","All Dade County High Schools","No Postsecondary Credential/Not Enrolled",64.6
2007,"641","Dade County","ALL","All Dade County High Schools","Associates",5.4
2007,"641","Dade County","ALL","All Dade County High Schools","Certificate",4.1
2007,"641","Dade County","ALL","All Dade County High Schools","Masters or Higher",2.7
2007,"642","Dawson County","0198","Dawson County High School","No Postsecondary Credential/Not Enrolled",57.6
2007,"642","Dawson County","0198","Dawson County High School","Other Credential",1.5
2007,"642","Dawson County","0198","Dawson County High School","Associates",5.6
2007,"642","Dawson County","0198","Dawson County High School","Certificate",3.5
2007,"642","Dawson County","0198","Dawson County High School","Bachelors",23.2
2007,"642","Dawson County","0198","Dawson County High School","Masters or Higher",3
2007,"642","Dawson County","0198","Dawson County High School","No Postsecondary Credential/Enrolled",5.6
2007,"643","Decatur County","ALL","All Decatur County High Schools","Certificate",7.7
2007,"643","Decatur County","ALL","All Decatur County High Schools","No Postsecondary Credential/Not Enrolled",50.9
2007,"643","Decatur County","ALL","All Decatur County High Schools","Masters or Higher",1.7
2007,"643","Decatur County","ALL","All Decatur County High Schools","Bachelors",19.5
2007,"643","Decatur County","ALL","All Decatur County High Schools","No Postsecondary Credential/Enrolled",9.1
2007,"643","Decatur County","ALL","All Decatur County High Schools","Associates",11.1
2007,"644","DeKalb County","0400","DeKalb High School of the Arts","No Postsecondary Credential/Not Enrolled",22.4
2007,"644","DeKalb County","0400","DeKalb High School of the Arts","Bachelors",67.3
2007,"644","DeKalb County","0400","DeKalb High School of the Arts","No Postsecondary Credential/Enrolled",6.1
2007,"644","DeKalb County","0400","DeKalb High School of the Arts","Masters or Higher",4.1
2007,"644","DeKalb County","1070","Tucker High School","Associates",5.3
2007,"644","DeKalb County","1070","Tucker High School","No Postsecondary Credential/Not Enrolled",51.1
2007,"644","DeKalb County","1070","Tucker High School","No Postsecondary Credential/Enrolled",7.6
2007,"644","DeKalb County","1070","Tucker High School","Bachelors",31.6
2007,"644","DeKalb County","1070","Tucker High School","Masters or Higher",3.6
2007,"644","DeKalb County","1070","Tucker High School","Certificate",0.9
2007,"644","DeKalb County","5055","Dunwoody High School","No Postsecondary Credential/Enrolled",6.7
