"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","OUT_OF_STATE_ENR_RANK"
2007,"631","Clayton County","0377","Riverdale High School","Florida A&M University",1
2007,"631","Clayton County","0377","Riverdale High School","South Carolina State University",1
2007,"631","Clayton County","0377","Riverdale High School","University Of Tennessee Chattanooga",1
2007,"631","Clayton County","0377","Riverdale High School","University Of The Cumberlands",1
2007,"631","Clayton County","1054","Forest Park High School","Alabama State University",1
2007,"631","Clayton County","1054","Forest Park High School","Benedict College",2
2007,"631","Clayton County","1054","Forest Park High School","Evergreen Valley College",3
2007,"631","Clayton County","1054","Forest Park High School","Spartan College Of Aeronautics And Tech",3
2007,"631","Clayton County","1054","Forest Park High School","University Of Phoenix",3
2007,"631","Clayton County","1056","Jonesboro High School","Alabama State University",1
2007,"631","Clayton County","1056","Jonesboro High School","Benedict College",2
2007,"631","Clayton County","1056","Jonesboro High School","Maryville College",3
2007,"631","Clayton County","1056","Jonesboro High School","Temple University",3
2007,"631","Clayton County","1056","Jonesboro High School","Utah State University",3
2007,"631","Clayton County","2052","North Clayton High School","Alabama State University",2
2007,"631","Clayton County","2052","North Clayton High School","Benedict College",3
2007,"631","Clayton County","2052","North Clayton High School","Grambling State University",3
2007,"631","Clayton County","2052","North Clayton High School","Jacksonville State University",3
2007,"631","Clayton County","2052","North Clayton High School","Tuskegee University",1
2007,"631","Clayton County","4058","Morrow High School","Alabama State University",2
2007,"631","Clayton County","4058","Morrow High School","Mississippi State University",1
2007,"631","Clayton County","4058","Morrow High School","North Carolina A&T State University",2
2007,"631","Clayton County","4058","Morrow High School","South Carolina State University",2
2007,"631","Clayton County","4058","Morrow High School","Tuskegee University",2
2007,"631","Clayton County","ALL","All Clayton County High Schools","Alabama State University",1
2007,"631","Clayton County","ALL","All Clayton County High Schools","Benedict College",4
2007,"631","Clayton County","ALL","All Clayton County High Schools","Bethune-Cookman University",4
2007,"631","Clayton County","ALL","All Clayton County High Schools","Florida A&M University",3
2007,"631","Clayton County","ALL","All Clayton County High Schools","South Carolina State University",2
2007,"632","Clinch County","1050","Clinch County High School","Clemson University",2
2007,"632","Clinch County","1050","Clinch County High School","Hutchinson Community College",2
2007,"632","Clinch County","1050","Clinch County High School","Mesabi Range College",1
2007,"632","Clinch County","1050","Clinch County High School","Reedley College",2
