"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","GRADUATE_COUNT","LS_ENG_PCT","LS_MATH_PCT"
2007,"678","Jackson County","0191","Jackson County Comprehensive High School",276,20.8,28.2
2007,"678","Jackson County","0193","Regional Evening Alternative School",10,0,0
2007,"678","Jackson County","ALL","All Jackson County High Schools",286,20.8,28.2
2007,"679","Jasper County","0101","Jasper County High School",76,20,35.6
2007,"679","Jasper County","ALL","All Jasper County High Schools",76,20,35.6
2007,"680","Jeff Davis County","0199","Jeff Davis High School",142,23.5,30.9
2007,"680","Jeff Davis County","ALL","All Jeff Davis County High Schools",142,23.5,30.9
2007,"681","Jefferson County","0196","Jefferson County High School",157,32.2,43.3
2007,"681","Jefferson County","ALL","All Jefferson County High Schools",157,32.2,43.3
2007,"682","Jenkins County","0201","Jenkins County High School",90,21.3,36.1
2007,"682","Jenkins County","ALL","All Jenkins County High Schools",90,21.3,36.1
2007,"683","Johnson County","0201","Johnson County High School",53,23.5,29.4
2007,"683","Johnson County","ALL","All Johnson County High Schools",53,23.5,29.4
2007,"684","Jones County","0192","Jones County High School",258,27.9,40.7
2007,"684","Jones County","ALL","All Jones County High Schools",258,27.9,40.7
2007,"685","Lamar County","0175","Lamar County High School",110,25.8,39.4
2007,"685","Lamar County","ALL","All Lamar County High Schools",110,25.8,39.4
2007,"686","Lanier County","0201","Lanier County High School",65,17.2,27.6
2007,"686","Lanier County","ALL","All Lanier County High Schools",65,17.2,27.6
2007,"687","Laurens County","0197","East Laurens High School",105,15.5,36.2
2007,"687","Laurens County","3054","Old West Laurens High School",181,12.8,38.3
2007,"687","Laurens County","ALL","All Laurens County High Schools",286,13.6,37.7
2007,"688","Lee County","0193","Lee County High School",290,18.2,30
2007,"688","Lee County","ALL","All Lee County High Schools",290,18.2,30
2007,"689","Liberty County","0105","Bradwell Institute",282,14.8,27.2
2007,"689","Liberty County","0192","Liberty County High School",198,14,23
2007,"689","Liberty County","ALL","All Liberty County High Schools",480,14.5,25.6
2007,"690","Lincoln County","0201","Lincoln County High School",89,14.6,14.6
2007,"690","Lincoln County","ALL","All Lincoln County High Schools",89,14.6,14.6
2007,"691","Long County","0205","Long County High School",95,14,38
2007,"691","Long County","ALL","All Long County High Schools",95,14,38
2007,"692","Lowndes County","5050","Lowndes High School",512,14,23.4
2007,"692","Lowndes County","ALL","All Lowndes County High Schools",512,14,23.4
2007,"693","Lumpkin County","0101","Lumpkin County High School",150,12.5,17.5
2007,"693","Lumpkin County","ALL","All Lumpkin County High Schools",150,12.5,17.5
2007,"694","Macon County","2060","Macon County High School",78,44.4,42.6
2007,"694","Macon County","ALL","All Macon County High Schools",78,44.4,42.6
2007,"695","Madison County","5050","Madison County High School",226,15.7,39.1
2007,"695","Madison County","ALL","All Madison County High Schools",226,15.7,39.1
2007,"696","Marion County","0275","Marion County Middle/High School",86,17.2,27.6
2007,"696","Marion County","ALL","All Marion County High Schools",86,17.2,27.6
2007,"697","McDuffie County","0192","Thomson High School",217,15,25.8
2007,"697","McDuffie County","ALL","All McDuffie County High Schools",217,15,25.8
2007,"698","McIntosh County","0104","McIntosh Academy",91,20,22.5
2007,"698","McIntosh County","ALL","All McIntosh County High Schools",91,20,22.5
2007,"699","Meriwether County","0300","Greenville High School",76,32.1,46.4
2007,"699","Meriwether County","4050","Manchester High School",102,17.9,28.6
2007,"699","Meriwether County","ALL","All Meriwether County High Schools",178,22.6,34.5
2007,"700","Miller County","0201","Miller County High School",69,22.4,34.5
2007,"700","Miller County","ALL","All Miller County High Schools",69,22.4,34.5
2007,"701","Mitchell County","0105","Baconton Community Charter School",18,16.7,33.3
2007,"701","Mitchell County","0282","Mitchell County High School",90,19,31
2007,"701","Mitchell County","ALL","All Mitchell County High Schools",108,18.6,31.4
2007,"702","Monroe County","0184","Mary Persons High School",189,26.1,42
2007,"702","Monroe County","ALL","All Monroe County High Schools",189,26.1,42
2007,"703","Montgomery County","0201","Montgomery County High School",54,15,40
2007,"703","Montgomery County","ALL","All Montgomery County High Schools",54,15,40
2007,"704","Morgan County","1050","Morgan County High School",193,14.7,24.5
2007,"704","Morgan County","ALL","All Morgan County High Schools",193,14.7,24.5
2007,"705","Murray County","0190","Murray County High School",296,18.1,46.3
2007,"705","Murray County","ALL","All Murray County High Schools",296,18.1,46.3
2007,"706","Muscogee County","0203","Northside High School",376,11.1,25.1
2007,"706","Muscogee County","0278","Shaw High School",204,24.1,25.9
2007,"706","Muscogee County","0378","Spencer High School",137,27.5,55
2007,"706","Muscogee County","1064","Kendrick High School",149,28.2,29.6
2007,"706","Muscogee County","2062","Hardaway High School",216,10.4,22.6
2007,"706","Muscogee County","3054","Columbus High School",239,0.6,1.2
2007,"706","Muscogee County","5052","Carver High School",181,23.1,42.3
2007,"706","Muscogee County","5062","Jordan Vocational High School",108,34.3,45.7
2007,"706","Muscogee County","ALL","All Muscogee County High Schools",1610,14.6,23.8
2007,"707","Newton County","0173","Newton High School",314,20.5,37.3
2007,"707","Newton County","0206","Alcovy High School",106,18.6,35.6
2007,"707","Newton County","0295","Eastside High School",233,16,30.6
2007,"707","Newton County","ALL","All Newton County High Schools",653,18.4,34.4
2007,"708","Oconee County","0105","North Oconee High School",152,11.1,15.2
2007,"708","Oconee County","0293","Oconee County High School",302,10.9,18.3
2007,"708","Oconee County","ALL","All Oconee County High Schools",454,11,17.3
2007,"709","Oglethorpe County","2050","Oglethorpe County High School",126,13.6,37
2007,"709","Oglethorpe County","ALL","All Oglethorpe County High Schools",126,13.6,37
2007,"710","Paulding County","0101","Hiram High School",393,15.5,24.2
2007,"710","Paulding County","0292","East Paulding High School",349,10,22.4
2007,"710","Paulding County","2552","Paulding County High School",342,9.5,19.6
2007,"710","Paulding County","ALL","All Paulding County High Schools",1084,11.8,22.3
2007,"711","Peach County","2052","Peach County High School",197,21.6,36
2007,"711","Peach County","ALL","All Peach County High Schools",197,21.6,36
2007,"712","Pickens County","0198","Pickens County High School",230,11.3,18.3
2007,"712","Pickens County","ALL","All Pickens County High Schools",230,11.3,18.3
2007,"713","Pierce County","0182","Pierce County High School",153,10,20
2007,"713","Pierce County","ALL","All Pierce County High Schools",153,10,20
2007,"714","Pike County","0194","Pike County High School",144,30.1,37.3
2007,"714","Pike County","ALL","All Pike County High Schools",144,30.1,37.3
2007,"715","Polk County","0102","Rockmart High School",151,12.5,30
2007,"715","Polk County","5050","Cedartown High School",161,12.9,31.2
2007,"715","Polk County","ALL","All Polk County High Schools",312,12.7,30.6
2007,"716","Pulaski County","2050","Hawkinsville High School",93,14.3,32.1
2007,"716","Pulaski County","ALL","All Pulaski County High Schools",93,14.3,32.1
2007,"717","Putnam County","0276","Putnam County High School",117,15.4,26.9
2007,"717","Putnam County","ALL","All Putnam County High Schools",117,15.4,26.9
2007,"719","Rabun County","0177","Rabun County High School",124,17.5,42.1
2007,"719","Rabun County","ALL","All Rabun County High Schools",124,17.5,42.1
2007,"720","Randolph County","0201","Randolph Clay High School",75,24.4,37.8
2007,"720","Randolph County","ALL","All Randolph County High Schools",75,24.4,37.8
2007,"721","Richmond County","0100","Cross Creek High School",173,24.7,45.7
2007,"721","Richmond County","1052","Butler High School",138,25,46.9
2007,"721","Richmond County","2056","Hephzibah High School",187,14.5,25.3
2007,"721","Richmond County","2574","Westside High School",151,11.5,26.9
2007,"721","Richmond County","3054","Glenn Hills High School",196,36.1,47.5
