"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","INSTATE_ENR_RANK"
2007,"625","Savannah-Chatham County","5060","Jenkins High School","University Of Georgia",4
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Armstrong State University",1
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","East Georgia State College",5
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Mercer University",4
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Savannah State University",3
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Savannah Technical College",2
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Armstrong State University",3
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Georgia Southern University",4
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Savannah State University",2
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","Savannah Technical College",1
2007,"625","Savannah-Chatham County","ALL","All Savannah-Chatham County High Schools","University Of Georgia",5
2007,"627","Chattooga County","1050","Chattooga High School","Berry College",4
2007,"627","Chattooga County","1050","Chattooga High School","Coosa Valley Technical College",3
2007,"627","Chattooga County","1050","Chattooga High School","Dalton State College",4
2007,"627","Chattooga County","1050","Chattooga High School","Georgia Highlands College",1
2007,"627","Chattooga County","1050","Chattooga High School","Northwestern Technical College",2
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Berry College",4
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Coosa Valley Technical College",3
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Dalton State College",4
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Georgia Highlands College",1
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Northwestern Technical College",2
2007,"628","Cherokee County","0176","Etowah High School","Chattahoochee Tech College - Marietta",5
2007,"628","Cherokee County","0176","Etowah High School","Georgia Highlands College",2
2007,"628","Cherokee County","0176","Etowah High School","Kennesaw State University",1
2007,"628","Cherokee County","0176","Etowah High School","North Metro Technical College",3
2007,"628","Cherokee County","0176","Etowah High School","University Of Georgia",4
