"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0194","610","2019-20","Berrien Middle School","Berrien County","06,07,08",0,0,13,9,3,74,1,52,10.8,4,137,18.7,,,,,79,10.8,6,0.8,0,0,,,6,0.8,60,8.2,51,49
"School","0195","610","2019-20","Berrien Elementary School","Berrien County","03,04,05",0,0,12,7,6,75,1,83,11.2,5,,,136,20.4,,,75,11.2,16,2.4,0,0,,,2,0.3,84,12.6,53,47
"School","5050","610","2019-20","Berrien Primary School","Berrien County","PK,KK,01,02",0,0,13,8,6,72,2,83,10.7,3,,,218,30.6,,,76,10.7,23,3.2,19,11.5,,,0,0,10,1.4,49,51
"District","ALL","610","2019-20","All Column Values","Berrien County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",0,0,12,9,4,74,2,66,10.6,3,137,18.7,354,25.7,187,20.7,319,10.6,53,1.8,19,11.5,584,64.7,76,2.7,232,7.7,51,49
"School","0103","611","2019-20","Skyview Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,33,6,7,54,0,95,11.6,1,,,91,22.9,,,46,11.6,3,0.8,2,3.9,,,0,0,28,7.1,52,48
"School","0104","611","2019-20","Burdell Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,93,4,1,2,1,95,8.1,3,,,119,26.1,,,37,8.1,9,2,2,7.7,,,0,0,10,2.2,51,49
"School","0105","611","2019-20","Howard High School","Bibb County","09,10,11,12",4,0,66,6,3,22,0,95,11,3,,,,,181,15.5,129,11,18,1.5,0,0,700,59.8,16,1.8,97,8.3,51,49
"School","0108","611","2019-20","Ballard Hudson Middle School","Bibb County","06,07,08",0,0,94,2,1,3,0,95,14,1,208,30,,,,,97,14,0,0,0,0,,,22,3.2,,,55,45
"School","0109","611","2019-20","Bruce Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,92,3,1,4,0,98,5.3,1,,,125,31.3,,,21,5.3,0,0,5,15.6,,,0,0,,,50,50
"School","0186","611","2019-20","Central High School","Bibb County","09,10,11,12",1,0,89,3,2,5,0,95,6.8,0,,,,,142,14.6,66,6.8,0,0,0,0,443,45.4,20,2.7,97,9.9,44,56
"School","0198","611","2019-20","Westside High School","Bibb County","09,10,11,12",1,0,87,4,2,5,0,95,10.3,1,,,,,1,0.1,102,10.3,8,0.8,0,0,542,54.7,17,2.2,41,4.1,49,51
"School","0203","611","2019-20","Vineville Academy","Bibb County","PK,KK,01,02,03,04,05",1,0,78,4,2,15,0,98,3.4,1,,,127,23.8,,,18,3.4,5,0.9,0,0,,,0,0,59,11,41,59
"School","0204","611","2019-20","Rutland High School","Bibb County","09,10,11,12",2,0,45,13,4,37,0,95,11.6,5,,,,,102,11.2,106,11.6,35,3.8,0,0,522,57.2,6,0.9,83,9.1,52,48
"School","0205","611","2019-20","Howard Middle School","Bibb County","06,07,08",4,0,70,6,3,16,0,95,13.9,5,153,14.2,,,,,150,13.9,24,2.2,0,0,,,24,2.2,116,10.7,53,47
"School","0286","611","2019-20","Northeast High School","Bibb County","09,10,11,12",0,0,95,1,2,2,0,95,9.3,0,,,,,4,0.5,68,9.3,0,0,0,0,580,79.5,23,4.1,14,1.9,51,49
"School","0298","611","2019-20","Miller Magnet Middle School","Bibb County","06,07,08",1,0,88,3,2,5,0,98,11.8,1,144,25,,,,,68,11.8,0,0,0,0,,,3,0.5,56,9.7,46,54
"School","0305","611","2019-20","Rutland Middle School","Bibb County","06,07,08",1,0,50,13,3,32,0,98,11.7,7,313,37.7,,,,,97,11.7,32,3.9,0,0,,,24,2.9,92,11.1,48,52
"School","0307","611","2019-20","Price Academy","Bibb County","03,04,05,06,07,08",0,0,36,7,7,50,0,0,21.4,0,0,0,0,0,,,3,21.4,0,0,0,0,,,0,0,,,71,29
"School","0383","611","2019-20","Williams Elementary School","Bibb County","KK,01,02,03,04,05",0,0,96,1,0,3,0,95,11.1,0,,,90,28.7,,,35,11.1,0,0,3,7.7,,,0,0,,,57,43
"School","0386","611","2019-20","Southwest High School","Bibb County","09,10,11,12",0,0,95,2,1,2,0,98,13.6,0,,,,,70,8.5,112,13.6,0,0,0,0,394,47.7,26,4.3,27,3.3,46,54
"School","0405","611","2019-20","Rosa Taylor Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,73,7,5,14,0,95,17.7,7,,,164,30.9,,,94,17.7,33,6.2,9,15,,,0,0,8,1.5,53,47
"School","0505","611","2019-20","Weaver Middle School","Bibb County","06,07,08",1,0,85,7,2,5,0,95,14.2,5,104,10.9,,,,,135,14.2,33,3.5,0,0,,,26,2.8,25,2.6,52,48
