"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0186","611","2017-18","Central High School","Bibb County","09,10,11,12",1,0,89,2,2,6,0,99,9.4,0,,,,,88,7.9,105,9.4,0,0,0,0,730,65.3,1,0.1,97,8.7,46,54
"School","0198","611","2017-18","Westside High School","Bibb County","09,10,11,12",1,0,88,3,2,6,0,99,9,1,,,,,0,0,102,9,2,0.2,0,0,758,66.7,0,0,53,4.7,51,49
"School","0203","611","2017-18","Vineville Academy","Bibb County","PK,KK,01,02,03,04,05",1,0,80,5,1,13,0,99,5.4,2,,,168,35.1,,,26,5.4,6,1.3,0,0,,,0,0,24,5,44,56
"School","0204","611","2017-18","Rutland High School","Bibb County","09,10,11,12",2,0,44,10,2,41,0,99,10.4,4,,,,,8,0.8,106,10.4,31,3,0,0,705,68.8,1,0.1,129,12.6,51,49
"School","0205","611","2017-18","Howard Middle School","Bibb County","06,07,08",4,0,67,5,3,21,0,99,13.7,4,121,12.2,,,,,136,13.7,15,1.5,0,0,,,0,0,123,12.4,52,48
"School","0286","611","2017-18","Northeast High School","Bibb County","09,10,11,12",0,0,96,1,1,2,0,99,9.2,0,,,,,61,8.2,68,9.2,0,0,0,0,592,79.9,0,0,16,2.2,51,49
"School","0298","611","2017-18","Miller Magnet Middle School","Bibb County","06,07,08",0,0,91,2,2,5,0,99,10.5,1,100,15,,,,,70,10.5,0,0,0,0,,,0,0,48,7.2,51,49
"School","0305","611","2017-18","Rutland Middle School","Bibb County","06,07,08",1,0,48,12,4,34,0,99,12.7,7,368,41.7,,,,,112,12.7,28,3.2,0,0,,,0,0,92,10.4,53,47
"School","0307","611","2017-18","Price Academy","Bibb County","03,04,05,06,07,08",0,0,31,8,0,62,0,100,15.4,0,0,0,0,0,,,4,15.4,0,0,0,0,,,0,0,,,62,38
"School","0383","611","2017-18","Williams Elementary School","Bibb County","KK,01,02,03,04,05",0,0,95,1,2,2,0,99,14.2,0,,,76,24.5,,,44,14.2,0,0,3,11.1,,,0,0,10,3.2,57,43
"School","0386","611","2017-18","Southwest High School","Bibb County","09,10,11,12",0,0,95,2,1,2,0,99,12.5,0,,,,,75,9,104,12.5,0,0,0,0,576,69.4,2,0.3,,,47,53
"School","0405","611","2017-18","Rosa Taylor Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,72,5,5,17,0,99,18.6,5,,,145,29.4,,,92,18.6,17,3.4,8,13.6,,,0,0,7,1.4,52,48
