#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2022-23","District","651","Effingham County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","17","11","6","65","TFS","39","15.4","3","15","15","665","10.6","318","8","2068","15.4","266","2","115","17.4","2902","72.6","236","1.9","1237","9.2","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","652","Elbert County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","36","11","4","48","1","77","15.1","4","TFS","TFS","607","45.1","23","2.6","442","15.1","69","2.4","14","9.7","622","71.1","20",".7","232","7.9","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","653","Emanuel County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","41","9","3","46","TFS","98","15.6","4","29","29","368","20.7","15","1.3","599","15.6","89","2.3","30","13","769","66.1","50","1.4","196","5.1","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","654","Evans County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","35","26","4","35","2","97","14.2","17","44.2","44.2","238","30.2","117","21.6","245","14.2","205","11.9","17","18.3","470","86.9","39","2.5","131","7.6","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","655","Fannin County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","TFS","6","1","91","TFS","53","16.7","3","17.7","17.7","229","19.1","37","4.1","456","16.7","42","1.5","22","26.2","591","65.4","36","1.4","186","6.8","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","656","Fayette County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","7","TFS","30","14","6","43","TFS","28","10.7","7","21","21","1144","14.3","808","11.5","2102","10.7","787","4","90","23.7","4575","65.3","135",".7","3589","18.2","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","657","Floyd County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","7","12","5","75","TFS","51","16","6","15.5","15.5","873","22.8","234","8.8","1359","16","298","3.5","76","17.9","1346","50.6","42",".5","1369","16.1","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","658","Forsyth County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","30","TFS","5","14","4","47","TFS","14","12.3","12","2.6","2.6","2311","10","346","2","6615","12.3","3595","6.7","375","85.2","11074","63.9","193",".4","8826","16.4","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","659","Franklin County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","11","10","5","72","TFS","59","16.7","5","17.1","17.1","364","21.3","304","29","599","16.7","123","3.4","29","85.3","676","64.4","73","2.2","230","6.4","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","660","Fulton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","13","TFS","42","16","4","25","TFS","44","10.4","11","16","16","8109","21.9","3065","10","9156","10.4","5865","6.7","464","22.3","15842","51.7","1008","1.3","14589","16.6","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","661","Gilmer County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","TFS","33","1","65","1","61","10.4","23","17.6","17.6","597","31.8","125","10.6","412","10.4","689","17.4","23","16.1","681","58","68","1.8","465","11.7","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","662","Glascock County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","1","7","TFS","3","89","TFS","50","13.5","TFS","40.5","40.5","57","23.4","33","18.6","72","13.5","TFS","TFS","TFS","TFS","109","61.6","12","2.5","38","7.1","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","663","Glynn County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","33","16","5","44","TFS","61","15.6","10","11.9","11.9","1222","21.8","11",".3","1932","15.6","883","7.1","62","12.4","1906","50.4","176","1.5","1082","8.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","664","Gordon County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","2","19","3","75","TFS","60","12.1","9","20.2","20.2","456","17.2","196","9.7","736","12.1","343","5.6","60","17.7","1090","54.1","130","2.3","716","11.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","665","Grady County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","30","28","3","38","1","100","10.7","19","TFS","TFS","49","2.6","TFS","TFS","448","10.7","516","12.3","30","13.5","859","67.4","79","2","228","5.4","52","48"
