"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2019","2019",7,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2020","2020",7,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2021","2021",7,,
"10403","Start month of the academic school year (tertiary education)","BGD","Bangladesh","2022","2022",7,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BRB","Barbados","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BLR","Belarus","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2021","2021",10,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","BLZ","Belize","2023","2023",8,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2017","2017",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2018","2018",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2019","2019",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2020","2020",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2021","2021",10,,
"10403","Start month of the academic school year (tertiary education)","BEN","Benin","2022","2022",10,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","BMU","Bermuda","2023","2023",8,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2021","2021",7,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2022","2022",7,,
"10403","Start month of the academic school year (tertiary education)","BTN","Bhutan","2023","2023",6,,
