object_id,nces_sch_id,nces_sys_id,orig_state_id,sys_id,sch_id,shape_length,shape_area,sspi,sys_name,sch_name,cluster,n_stu_19,title_i,grade,star_rtg,asian,native,black,hisp,multi,white,frpl,swd,lep,mobility,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma,fiscal_year,sys_sch,system_id,system_name,school_id,school_name,direct_cert_perc,k12_poverty_student_ct,k12_student_count
84,130029000178,1300290,GA-607-1050,607,1050,0.293809779345,0.00348914228043,-0.62384919519082,Barrow County,Auburn Elementary School,E,630,Y,B,4,7,0,6,19,8,60,30.6,16,17,18.4,80.9,82.111,81.704,77.943,86.685,94.6,34.8,36.5,38.2,42.2,38.4,36.7,2024,6071050,607,Barrow County,1050,Auburn Elementary School,65.3000030517578,426,652
1089,130029002016,1300290,GA-607-0189,607,0189,0.419871431237,0.00586685739669,-1.70731595992768,Barrow County,Kennedy Elementary School,E,840,Y,D,3,4,0,19,23,7,46,28.799999,18,19,12.2,69.9,77.177,70.277,78.624,82.63,90.6,39.6,68.2,37.7,47.1,49.2,48.4,2024,607189,607,Barrow County,189,Kennedy Elementary School,63.9000015258789,446,698
2295,130029002293,1300290,GA-607-0298,607,0298,0.252193431626,0.00216029941658,0.0937826458454232,Barrow County,Yargo Elementary School,E,806,Y,C,5,5,0,16,18,5,57,18.1,11,18,10.8,75.3,81.323,77.496,82.864,83.609,97.2,44.8,59.7,53.6,61.6,49.7,37.5,2024,607298,607,Barrow County,298,Yargo Elementary School,55.7999992370606,417,747
1063,130051000260,1300510,GA-763-2050,763,2050,0.660174026459,0.00265969653002,-0.016772753069415,Bremen City,Jones Elementary School,E,624,N,A,5,1,0,6,2,3,88,15.1,12,0,8.7,96.8,89.401,84.47,93.325,90.407,96.6,74.1,81,,,,,2024,7632050,763,Bremen City,2050,Jones Elementary School,33.2999992370605,233,700
218,130051003762,1300510,GA-763-0110,763,0110,0.660174026459,0.00265969653002,-0.016772753069415,Bremen City,Bremen 4th  Grade Academy,E,337,Y,A,5,1,0,6,2,4,87,15.7,10,1,6.3,93.6,88.447,81.495,95.32,88.525,101.3,,,72,84,67.9,71.7,2024,763110,763,Bremen City,110,Bremen 4th & 5th Grade Academy,29.6000003814697,94,318
1422,130084000319,1300840,GA-622-0176,622,0176,0.762867425851,0.0137871483984,-0.541436588984265,Carroll County,Mount Zion Elementary School,E,661,Y,C,5,0,0,8,16,7,68,49,14,8,15.3,74.2,86.765,82.104,89.909,88.281,96.6,42.7,56.5,38.4,50,46.5,45,2024,622176,622,Carroll County,176,Mount Zion Elementary School,66.0999984741211,417,631
2022,130084000320,1300840,GA-622-1054,622,1054,0.303093458301,0.00237513209406,-0.0989086217927368,Carroll County,Temple Elementary School,E,538,Y,D,4,1,0,22,6,7,65,40.5,13,3,17.3,62.7,77.944,74.909,75.015,83.907,95.9,39,49.5,37.7,45.9,37.2,41.2,2024,6221054,622,Carroll County,1054,Temple Elementary School,68.6999969482422,421,613
1808,130084000325,1300840,GA-622-5052,622,5052,0.501664370571,0.00686108829651,-0.0431684109680609,Carroll County,Sand Hill Elementary School,E,621,Y,D,5,0,0,16,7,8,68,33.799999,11,4,17.1,66.8,86.016,78.513,90.822,88.713,99,45,71,56.3,43.8,49.2,56.4,2024,6225052,622,Carroll County,5052,Sand Hill Elementary School,60.5999984741211,406,670
338,130084000326,1300840,GA-622-5050,622,5050,1.15612447873,0.0101866479373,-0.343202179680455,Carroll County,Central Elementary School,E,907,N,B,4,0,0,12,11,5,71,28,19,6,14.1,86.1,92.597,89.193,93.95,94.647,95.6,54.4,61.9,44,52.5,51,58.9,2024,6225050,622,Carroll County,5050,Central Elementary School,43,383,891
1774,130084000328,1300840,GA-622-0377,622,0377,0.737708363401,0.0156526689708,-0.467755758605095,Carroll County,Roopville Elementary School,E,365,Y,B,5,1,0,6,5,4,84,27.700001,10,2,17.3,84,89.766,81.855,96.328,91.115,97.9,62.2,66,66.2,73.6,58.7,57.1,2024,622377,622,Carroll County,377,Roopville Elementary School,47.4000015258789,195,411
205,130084000332,1300840,GA-622-2050,622,2050,0.941983364226,0.0272227372708,-1.09356013888846,Carroll County,Bowdon Elementary School,E,582,Y,B,5,0,0,13,6,9,71,36.099998,13,3,14.3,80.4,84.513,78.042,89.209,86.287,97.3,51.1,58.2,54.8,64.2,36.4,46.9,2024,6222050,622,Carroll County,2050,Bowdon Elementary School,62.4000015258789,390,625
2231,130084000333,1300840,GA-622-0477,622,0477,0.781289887347,0.0187175372471,-0.497903888676465,Carroll County,Whitesburg Elementary School,E,366,N,A,4,0,0,6,7,5,81,36.599998,13,2,24.3,91.9,90.34,87.817,93.371,89.834,94.8,64.8,66.7,56.9,63.8,71,64.5,2024,622477,622,Carroll County,477,Whitesburg Elementary School,57.9000015258789,277,478
